text,pred
Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,"[('line', None), ('establishment', None)]"
They have authentic Indian at amazin prices.,"[('amazin prices', None)]"
You are treated just like royality.,[]
"There's nice and quiet, small but enough for 6 (or more).",[]
Ambiance- relaxed and stylish.,"[('ambiance', None)]"
I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,"[('bronx cafe', None)]"
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.","[('duck', None), ('bbq salmon', None), ('sea bass', None)]"
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","[('pizza', None), ('ingredients', None), ('crust right', None)]"
"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).","[('wall', None), ('hole', None)]"
and yes Dal Bukhara is so dam good and so are all the kababs.,"[('dal bukhara', None)]"
I look forward to eating here again,[]
I've been coming here as a child and always come back for the taste.,"[('taste', None)]"
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"[('price', None), ('neighborhood joints', None), ('meal', None)]"
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",[]
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","[('food', None)]"
The food always tastes fresh and served promptly.,"[('food', None)]"
I know because I live nearby.,[]
The pizza here is delicious.,[]
My entire family was horrified.,"[('family', None)]"
On a monthly basis my friends and I get together and have a girls night out.,"[('basis', None), ('friends', None)]"
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","[('garlic knots', None), ('delivery', None), ('pizza', None)]"
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.","[('wu liang ye', None), ('food', None), ('sichuan', None)]"
But who says Murray's is anything about service.,[]
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","[('restaurant', None), ('part', None), ('place', None)]"
I have NEVER been disappointed in the Red Eye.,[]
Hats off to the chef.,[]
This should have been done in a back room - away from customers.,"[('customers', None)]"
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","[('teapot', None), ('things', None), ('importance', None)]"
Glad you have the luxury to throw out paying customers.,[]
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[('mozzarella', None), ('pizzaria', None), ('cheese', None)]"
Its an excellent place to relax and the food is one of the best in the city of New York.,"[('place', None)]"
"service is friendly, and never had a problem walking in and getting a table.","[('service', None)]"
The atmosphere was crowded but it was a great bistro-type vibe.,"[('type vibe', None)]"
Check it out,[]
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","[('restaurant', None), ('waitress', None)]"
Don't go.,[]
The food was bland oily.,"[('food', None)]"
But they do.,[]
"What is even better, is that the prices are very affordable as well, and the food is really good.","[('prices', None), ('food', None)]"
The fish is fresh but the variety of fish is nothing out of ordinary.,"[('fish', None)]"
Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,"[('someother places', None)]"
Suan has challenged this loyalty.,[]
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","[('meal', None), ('wine', None), ('pesto pizza', None), ('house salad', None), ('bottle', None)]"
"And Kruno, the beverage manager is the best bartender I have yet to come across.",[]
"Ambiance and music funky, which I enjoy.","[('music', None), ('ambiance', None)]"
"The food, drinks and service are clearly among the best in the city.","[('city', None), ('drinks', None), ('food', None), ('service', None)]"
I went there in late afternoon for some bite size food and refleshment with my date.,[]
"It's a really great deal, considering we got full off of four dollars.","[('deal', None), ('dollars', None)]"
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","[('tastes', None), ('foods', None), ('star service', None), ('captain', None), ('maze', None), ('sommlier', None), ('waiters', None), ('ambiance', None)]"
Went with mommy (the only person who could afford taking me here).,"[('person', None)]"
My friends and I were on vacation in NY and was referred to Chance by a friend.,[]
"Last time I went here, the waitress didn't come back after taking our order.","[('time', None), ('waitress', None)]"
Try the tandoori salmon!,"[('tandoori salmon', None)]"
"I am completely hooked on this place, it is ridiculous.","[('place', None)]"
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[('experience', None)]"
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",[]
"Have recommended the place to friends, always gets good response.","[('response', None)]"
We will return many times for this oasis in mid-town.,"[('mid-town', None)]"
I love the atmorphere @ peep!,[]
Enjoy!,[]
We weren't!,[]
This is one of my favorite restaurants and it is not to be missed.,"[('restaurants', None)]"
(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,"[('restaurant pacifico', None)]"
It could have been handled better.,[]
The service was attentive and her suggestions of menu items was right on the mark.,"[('suggestions', None), ('menu items', None), ('mark', None), ('service', None)]"
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,"[('plate', None)]"
Please be aware that it's CASH or AMEX only!,[]
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!","[('legacies', None), ('community', None), ('pizza', None)]"
It's a rather cramped and busy restaurant and it closes early.,"[('restaurant', None)]"
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","[('food', None), ('environment', None), ('service', None)]"
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",[]
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,"[('couple', None), ('occasion', None), ('place', None), ('expectations', None)]"
They were served warm and had a soft fluffy interior.,"[('interior', None)]"
What came to our table was burned beyond recognition and stringy.,[]
I had the Pad Thai and the noodles were sticky.,"[('noodles', None), ('pad thai', None)]"
"So I've never actually been to M proper, but I've had it delivered a few times.","[('times', None)]"
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.","[('avenue restaurants', None)]"
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","[('sandwich shops', None), ('lunch', None), ('mcds', None)]"
The hostess is rude to the point of being offensive.,"[('point', None), ('hostess', None)]"
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!","[('craving', None), ('wait building outisde', None), ('food', None)]"
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","[('corridor', None), ('deal', None), ('counters', None), ('space', None)]"
The food is great.,"[('food', None)]"
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,"[('steaks', None), ('road kill', None)]"
"Lunch came with pickels and slaw, no extra charge.","[('charge', None)]"
Decent wine at reasonable prices.,"[('prices', None), ('wine', None)]"
All conveniently delivered right to the door.,[]
even the wine by the glass was good.,"[('glass', None)]"
Nice Family owned traditional restaurant.,"[('restaurant', None)]"
would have rather tried terrace in the sky or water club for that price,[]
This dish is my favorite and I always get it when I go there and never get tired of it.,"[('dish', None)]"
"I also ordered the Change Mojito, which was out of this world.",[]
Okay service.,[]
The only thing more wonderful than the food (which is exceptional) is the service.,"[('thing', None), ('food', None), ('service', None)]"
We were very pleasantly surprised.,[]
"The food was just awful, ATROCIOUS actually.","[('food', None)]"
I will never visit this restaurant again.,"[('restaurant', None)]"
The soup for the udon was soy sauce and water.,[]
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","[('calamari', None), ('anti-pasta', None)]"
The waitress suggested glasses of wine that went very well with the food.,[]
"(or sister, in my case!).",[]
I've eaten at many different Indian restaurants.,"[('restaurants', None)]"
"They might be all business at the counter when you give your order, but their food says I love you.",[]
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","[('ceviche mix', None), ('sushi', None), ('types', None), ('banana tempura', None), ('sashimi', None), ('crab dumplings', None), ('rolls', None)]"
Try their plain pizza with fresh garlic or eggplant.,"[('eggplant', None), ('garlic', None), ('pizza', None)]"
Don't go there!,[]
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.","[('crowd', None), ('effort', None), ('attention', None)]"
Good luck getting a table.,[]
"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",[]
Don't look down your nose at me like that...,"[('nose', None)]"
Planet Thai is great!,"[('planet thai', None)]"
The service is awful.,"[('service', None)]"
Just don't do it.,[]
Just ignore the trendy wannabes.,"[('wannabes', None)]"
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!","[('takeout menu', None), ('eye', None), ('dishes', None)]"
"Trust me, it will be great, and all of it will be devoured in no time.",[]
My girlfiends and I ate at O.G. again last night.,[]
I wish they had one near my office- I would go everyday.,[]
Finally!,[]
Amma has the worst value for money I have experienced in NYC over the past 2 years.,[]
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",[]
I think this would be a pretty good spot if it were not so overpriced and overrated.,[]
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,"[('hostess', None), ('name', None)]"
The pizza is good though.,"[('pizza', None)]"
bottles of wine are cheap and good.,"[('wine', None), ('bottles', None)]"
You will not be disapointed at all.,[]
Walk-ins are risky too.,"[('ins', None)]"
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","[('guest', None), ('dish', None), ('food', None), ('beers', None), ('husband', None)]"
They didn't give us the dinner special until we asked for it.,"[('dinner', None)]"
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,"[('crabmeat lasagna', None)]"
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.","[('word', None), ('room', None), ('advice', None)]"
Very good service and very good prices.,"[('prices', None), ('service', None)]"
I recently went to this restaurant with some co-workers for lunch and had an amazing time.,"[('time', None)]"
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","[('needs', None), ('menu', None), ('meal', None), ('service', None)]"
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,[]
Our food was great too!,"[('food', None)]"
Open late (well as late as I ever got there and I'm a night person),[]
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.","[('thing', None), ('revenue', None)]"
"Get your food to go, find a bench, and kick back with a plate of dumplings.","[('food', None), ('bench', None)]"
"Please try the Filet Mignon, its just the most tender piece ever.","[('filet mignon', None)]"
"Everything we had was pretty good, but we have only been there once.",[]
"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",[]
Something about them being busy with holiday party's.,"[('holiday party', None)]"
The sake menu should not be overlooked!,[]
I would highly recommend.,[]
This place is great.,"[('place', None)]"
the drinks are amazing and half off till 8pm.,"[('drinks', None), ('pm', None)]"
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,"[('nha trang', None)]"
"With so many poor experiences to be had in the theater district, is truly an excellent find!","[('experiences', None)]"
This has got to be one of the most overrated restaurants in Brooklyn.,[]
"The service, wine selection, ambiance are all outstanding and deserve recognition.","[('service', None)]"
"Went there last night for 2 year anniversery, and wasn't all that impressed.",[]
It was rather pathetic that it took them over an hour to seat us.,[]
"We were seated promptly as we had reservations, however after that the service was slow.","[('service', None)]"
At first I was slightly skeptical because it was a sushi restaurant in the middle of NYC.,[]
"It's really also the service, is good and the waiters are friendly.",[]
Suan was a recommendation that I am glad we heeded.,[]
"The food was pretty good, but a little flavorless and the portions very small, including dessert.","[('food', None), ('portions', None), ('dessert', None)]"
We visit at least once a month.,[]
"It is set far from the small street it's on, and there is no traffic noise.","[('street', None)]"
"Also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them.","[('families', None), ('animals', None), ('place', None)]"
I'll keep this short.,[]
I felt as though I were eating in Paris.,[]
Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,"[('food', None), ('flagship green bo restaurant', None)]"
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.","[('ambience', None), ('service', None)]"
"However, it's not worth a special trip.","[('trip', None)]"
Nice value.,"[('value', None)]"
Gigino's in Wagner Park is so enjoyable.,"[('gigino', None), ('wagner park', None)]"
And it was quick which is very important.,[]
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,"[('restaurant', None), ('dinner meeting', None), ('place', None)]"
All the NYU students love this place so it makes for a fun young atmosphere.,"[('atmosphere', None)]"
The food here does a great service to the name (Cantonese that is...).,"[('service', None)]"
"But, nothing stands out about the cooking.",[]
Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,"[('food', None), ('atmosphere', None)]"
"If that's a problem, go to McDonald's and destroy your insides.","[('mcdonald', None), ('insides', None)]"
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"[('quantity', None), ('penny', None), ('quality', None), ('prix fixe menu', None)]"
I've been here 3 times for lunch and it is one of my favorites in the city.,[]
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.","[('life', None)]"
"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.",[]
Always busy but fast moving.,[]
Too bad the food wasn't of the same heritage.,"[('heritage', None)]"
"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.","[('specials', None), ('sea bass', None), ('menu', None), ('server', None)]"
Sexy.,[]
"The food was really good, I had the onion soup and it was one of the best ever.","[('food', None)]"
"I will have to say, this Bengali Fast Food joint is clearly my favorite.","[('food joint', None)]"
I'm not picky - but it was actually gross.,[]
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.","[('deal', None), ('restaurant', None)]"
"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.","[('wall', None), ('staff', None), ('help', None)]"
"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.",[]
"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.","[('roll', None), ('rice', None)]"
"Even with John's and Joe's around the corner, this place will make a name for itself.","[('corner', None), ('joe', None), ('john', None), ('place', None), ('name', None)]"
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.","[('mouth', None), ('consistency', None)]"
"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.","[('gin', None), ('tonic', None)]"
My girlfriend convinced me to go in the other night for a quick bite.,"[('bite', None), ('girlfriend', None)]"
"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).","[('dishes', None), ('sum', None)]"
despite the untasteful previous review...,"[('review', None)]"
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.","[('place prima facie', None), ('heart', None)]"
"Sure, everyone's got their favorite, but to know Sal, is to know New York.","[('sal', None), ('new york', None)]"
I think that it is absolutely brilliant and well runned business operation.,[]
Also they were $15 each!,[]
"The service is ok, some of the people didn't get what they asked for.","[('service', None)]"
"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.","[('ear', None)]"
If you want good authentic Thai this place is not the place to go.,"[('thai', None)]"
I recommend getting a reservation even though we saw people seated without one.,[]
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,"[('thing', None), ('edamame puree', None), ('chicken', None)]"
This is as good as neighborhood restaurants come.,[]
"If you want some roast duck, pork or chicken on rice with ginger, try them out!",[]
"You order from a menu, so you leave feeling like you missed the full experience.","[('experience', None)]"
