text,terms,lab_sim
"as of a couple weeks ago the middle portion of the laptop from top to bottom,,,about 4 inches across is hardly visible.",[],0.4029294
"then hp sends it back to me with the hardware screwed up, not able to connect.",[],0.42026162
"and if you do a lot of writing, editing is a problem since there is no forward delete key.",[],0.30455586
also i typed faster then then letters would show and it got to be realy annoying.,[],0.2743075
"i shipped out on saturday, july 17.",[],0.11630768
i bought it for really cheap also and it's amazing.,[],0.41188744
"acer has set me up with free recovery discs, when they are available since i asked.",[],0.38517419
i eventually did the migration from my imac backup disc which uses usb.,[],0.32132715
those things are very important - vital even!,[],0.073650606
"-they say it will take ""up to two weeks"".",[],0.13566971
i didn't like one thing about it.,[],0.22333834
enabling the battery timer is useless.,[],0.29996428
"yeah, to you.",[],0.16342421
i got a mac as my hs graduation gift.,[],0.5622054
i have now had it for 1.5 months and love it.,[],0.46975362
it turned out it's not really a problem to have a mac.,[],0.6071342
page just disapeared after you got yahoo or downloaded something.,[],0.2418304
"there is no need to purchase virus protection for mac, which saves me a lot of time and money.",[],0.3967802
"but we had paid for bluetooth, and there was none.",[],0.3814985
"my daughter uses it for games, email, facebook, pictures and music.",[],0.49432826
laptop is to be used like a netbook.,[],0.6568243
after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,[],0.5299069
"trying to balance all of my roles leaves very little time for me to do anything, so i want to manage my time i do have to be the most efficient.",[],0.1736094
they had to replace the motherboard in april,[],0.43450484
there is a little indent to help open it - but good luck with that.,[],0.0647574
"also, i have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",[],0.3138134
it was a great deal after all.,[],0.35206106
gave phonenumber.,[],0.13563439
oh my goodness-i am not a happy camper.,[],0.051160526
i'm returning mine,[],0.28157166
"i can render avchd movies with little effort, which was a problem for most pc's unless you had a quad core i7.",[],0.36952376
it's a bummer and one out of five is being kind.,[],0.12414479
you won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,[],0.39756998
this laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,[],0.5202364
which i still use and have hooked up to my tv.,[],0.39705503
it weighed like seven pounds or something like that.,[],0.10988972
you may need to special order a bag.,[],0.031379417
another two weeks later and it was back in my possession.,[],0.23551631
"i've owned every ""pro"" model apple laptop for the last 8 years, this is by far the worst one i've ever had.",[],0.72634643
"have purchased many products over the years from macconnection and this transaction, like all the others, we smoothly with no problems.",[],0.4394041
i'm pleased.,[],0.17929234
"with a healthy pessimism, i took the machine home and tried to find a flaw.",[],0.41825604
i thought the white mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,[],0.49748787
"don't waste their money, save it and but a mac.",[],0.6475151
i now travel with this laptop and my work pc.,[],0.5649887
both my husband and i have this model toshiba.,[],0.65394
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",[],0.6791885
"since i keyboard over 100 wpm, i look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",[],0.38635477
"it gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",[],0.31932163
lots of preloaded software.,[],0.4552963
"sony, acer, dell, packard bell and toshiba.",[],0.5653931
"and then, a guy came out to serve me instead.",[],0.02134409
breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,[],0.28846073
have returned that laptop unused.,[],0.64862174
i got tired of buying laptops and having them stop working after a year.,[],0.6703007
i should have been more observant.,[],0.18751842
"i wish it had a webcam though, then it would be perfect!",[],0.4103195
"granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my mac boots up noticeably quicker.",[],0.5205021
it caught a virus that completely wiped out my hard drive in a matter of hours.,[],0.436623
would pay more for it if i had too!,[],0.3026932
couldn't keep a page up you were working on!,[],0.24611288
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozzilla firfox i love every single bit about it.,[],0.43135285
i like to use it at the race track to handiecap the horse races.,[],0.23023963
i was given a mac as a birthday present and couldn't be happier with it 3 years later.,[],0.6086912
do a quick search on the internet see if im the only one.,[],0.04467092
i'm extremely happy with my purchase as i now have the portable power i have been looking for.,[],0.48007777
"it's applications are terrific, including the replacements for microsoft office.",[],0.6005566
"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid, (mind you this was my means of communication with my fiance who was deployed) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",[],0.2987506
"you might think, i am new in this game, but i am a gadget lover, and have had more than 2 dozens laptops in the past 15 years, and none gets this hot, that fast.",[],0.56887597
i was informed that i need to call some 0900 number first.,[],0.06268026
i really wanted a mac over a pc because i used a mac in high school.,[],0.5997474
"1) payed $2200 for a ""premium"" laptop",[],0.4940313
do not purchase this laptop.,[],0.5829418
"she brought out 2 other identical netbooks and still insist that ""it is like that one"".",[],0.31155452
"i ordered through macmall, which saved me the sales tax i would have incurred buying locally.",[],0.2453819
being virus-resistant is a huge plus.,[],0.38923597
"by the way teachers, they offer a discount which helps!",[],0.13123193
now he mows yards so he can earn the money for the wireless internet.,[],0.21778888
it is held in place magnetically.,[],0.06897963
taking it back to best buy i found that a tiny plastic piece inside had broken (manuf issue).,[],0.44824392
the start menu is not the easiest thing to navigate due to the stacking.,[],0.31511933
only thing i would want to add to this is an internal bluray read/write drive.,[],0.4218101
"the tech store i purchased this from sent it back,,,,,eventually i got a new or repaired machine approximately 3 weeks later.",[],0.45352393
"i loved it then, but unfortunately it was before the days of wireless internet.",[],0.4407726
really like the textured surface which shows no fingerprints.,[],0.30901703
"i will never again buy another acer, not will i buy gateway, or emachine as they are all from the same company.",[],0.50209814
"i thought learning the mac os would be hard, but it is easily picked up if you are familiar with a pc.",[],0.490233
"i had static in the output, and i had to reduce the sound output quality to ""fm"" as opposed to the default ""cd.",[],0.19447047
it was a laugh too!,[],0.10776977
i custom ordered the machine from hp and could not understand the techie due to his accent.,[],0.44667023
it is a bit heavy.,[],0.25395533
after trying to get some help he disconnected on me.,[],0.15478438
"for the not so good, i got the stock screen - which is very glossy.",[],0.3986558
buy this.,[],0.2512333
very disappointing:,[],0.2254742
this is my first computer purchase,[],0.6372221
the magnetic plug-in power charging power cord is great (i even put it to the test by accident)- excellent innovation!,[],0.25947237
well i got this computer from best buy and i have had nothing but problems i bought the computer with a virus.....,[],0.591769
i decided i wanted a laptop so i went into the bby store.,[],0.6061375
"in the three years i've had my macbook pro, i have never had a virus on my computer, and i do a lot of work on the internet.",[],0.51270545
"i was ready to take it back for a refund, but the geek squad camed through and pointed me in the right direction to get it fixed.",[],0.5194681
it can't get any better.,[],0.2923793
"all the problems i have had with pc's are solved with a mac: the issue of overheating-my dell was always overheating and not working properly or simply shutting off, and the issue of viruses and contaminants-my hp completely quit working within2 years of purchasing it, with no inexpensive way of fixing it.",[],0.5259703
"the other lock-up problems are from a myriad of causes, the most common being a corrupted version of appleworks which can render the browser useless.",[],0.3881629
in short i would never buy a compaq again.,[],0.574321
but i was wrong.,[],0.058574628
no good.,[],0.15027946
i always use a backup hard disk to store important files at all times.,[],0.2907449
once i removed all the software the laptop loads in 15-20 seconds.,[],0.5090503
on my powerbook g4 i would never use the trackpad i would use an external mouse because i didn't like the trackpad.,[],0.38546214
"yeah, of course smarty pants ""fix it now"")software - compared to the early 2011 edition i did see inbuilt applications crashing and it prompted me to send the report to apple (which i promptly did).",[],0.48660707
"with a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",[],0.44132975
"i think part of the problem with this computer is vista, yet i know vista isn't the entire issue because my latest purchase was my acer and it also has vista (i should have waited the few months to get the next operating system).",[],0.508762
that whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,[],0.6715572
"suffice it to say, my macbook pro keeps me going with its long battery life and blazing speed.",[],0.6745531
"-i give up on my data, i just want a computer reasonably fast...",[],0.5221473
would buy 100 more of these if i could.,[],0.17214851
it was shooting sparks!,[],0.105240785
"i've had to call apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from vancouver) techs that walked me through the processes to help me.",[],0.31674045
but sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.,[],0.41230252
the programs are esay to use and are quick to process this computer works like a charm.,[],0.5476953
the materials that came with the computer did not include the right # anywhere.,[],0.3184497
that day!,[],0.122728676
""" for one, i noticed that from turning on my mac to logging on only took about 25 seconds.",[],0.48957813
tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,[],0.30454174
"since i never really got to use this, i can't comment on anything except what went wrong after trying 2 of them.",[],0.40667143
buyers beware.,[],0.28257206
"upon giving them the serial number the first thing i was told, was that it was out of warranty and i could pay to have it repaired.",[],0.40094283
love it.,[],0.21759316
"i use that alot on my desktop, so i am adjusting to not having it.",[],0.48335305
"very dissappointed becase i have had toshibas for years, and never a issue.",[],0.36253142
if you have any creativity in you do yourself a favor and get a mac!,[],0.50518584
congratulations asus for creating one big piece of dump which is my laptop.,[],0.5089757
i would definitely recommend checking out this laptop if you are in the market for one.,[],0.65909547
"when the computer has been on for several minutes, it will occasionaly just go off by itself.",[],0.37011066
falls into the case.,[],0.12613243
this is something i would deffinately reccomend to someone.,[],0.13437085
its fast and another thing i like is that it has three usb ports.,[],0.5396839
that is my only complaint!,[],0.346916
one of the smartest thing i did was take my time to compare laptops before making my purchase.,[],0.68125194
"honestly, this is absolutely wonderful.",[],0.20932123
i really wish i had done this years ago.,[],0.17749734
"well, maybe i was just very unlucky.",[],0.1594113
"for example, when my husband turns the light out while i'm on the computer.",[],0.2973264
"once open, the leading edge is razor sharp.",[],0.16481006
loaded with bloatware.,[],0.42033005
"if you buy, pray you dont have major prolems.",[],0.21601747
within 3 weeks the same issues started happening again.,[],0.22266348
"well, they don't care a bunch.",[],0.03830733
i have never had to shut down the computer unexpectedly and the computer has never froze on me.,[],0.49711072
recommended to people as their first laptop.,[],0.6977138
so what if the laptops/mobile phones look chic and cool? the after sales support is terrible.,[],0.59232444
they have not sent a new one nor called.,[],0.19079307
i would easly reccomend this laptop to a friend.,[],0.6068927
thinking about returning it,[],0.35529706
"i took the laptop home and not even a month later, i began to have problems with it.",[],0.68530387
i tried turning it done but it did nothing.,[],0.23737952
i bought mine from apple store the day it was released as amazon didn't have it yet.,[],0.38108748
the whole experiece is horrible so save up and buy a better laptop.,[],0.7595607
i just bought this laptop 3 days ago.,[],0.6524886
i am very pleased with my purchase!,[],0.40983915
sometimes you really have to tap the pad to get it to worki,[],0.2599439
"three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",[],0.47307473
"however, i may have inadvertently thrown out one of the batteries with the shipping carton.",[],0.2736911
love it so far.,[],0.2263208
there is no need to open a program first and the cliick open or import.,[],0.11078758
"in short, you could say your mac could become your best friend (no intention of replacing rover your dog).",[],0.33996013
it was a bad experience but i played down its importance.,[],0.23526692
it is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on pc's.,[],0.50354654
"the notebook pc,toshiba qosmio is the best gift my father could have ever gotten me.",[],0.649794
"three weeks after i bought the netbook, the screen quit working.",[],0.5274766
"the processor screams, and because of the unique way that apple osx 16 functions, most of the graphics are routed through the hardware rather than the software.",[],0.4829705
i am currently out of town and called to inform them the broken part would be returned when i got back in town.,[],0.20170984
returned laptop for a 4th repair and it came back but now would lock up and randomly reboot frequently making the laptop unusable.,[],0.42958075
i wanted something that had a new intel core processors and hdmi port so that we could hook it up directly to our tv.,[],0.44611618
"with today's company fighting over marketshare, its a shame that asus can get away with the inept staff answering thephone.",[],0.30115998
other than that i don't have one complaint in the world!,[],0.30120164
i feel that enough people have macs these days and that companies need to start making things more compatable than they used to be.,[],0.6037442
i bought for my son in the 2nd grade.,[],0.22696404
this has happened three times so far.,[],0.12706348
"i'm a professional consultant, and a client needed work on her machine.",[],0.3841548
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",[],0.20959859
"who knows what will happen later on when they dismantle the whole damn thing? so, i said i wanted a new set.",[],0.15681024
"i connect a lacie 2big external drive via the firewire 800 interface, which is useful for time machine.",[],0.13991103
"if you already own a 2009, 2010, or early 2011 model, you should wait until the next update.",[],0.39364746
"so, i must say i am not a happy camper.",[],0.06436339
"-called machouse amsterdam to ask for a temporary replacement, no answer.",[],0.11101237
the aspire wont even boot past the acer screen with a droid (i have tried both motorola and htc) plugged into the usb port.,[],0.32960552
i bought it during the recent comex it show.,[],0.35982725
it fires up in the morning in less than 30 seconds and i have never had any issues with it freezing.,[],0.14674674
it doesnt overheat or make any loud noises.,[],0.28255704
look up recipes and keep it on the kitchen counter while i cook.,[],0.10121285
i have had nothing but problems since the day i took it out of the box!,[],0.41425738
my macbook was worth (after 3 years of use!) $375.,[],0.65692854
it drives me crazy when i want to download a game or something of that nature and i can't play it because its not compatable with the software.,[],0.3340605
i took it back for a full refund.,[],0.40655604
this computer had exactly the specifications i needed.,[],0.4247141
"where you click and hold and drag it picture, link, etc to where you want it.",[],0.10413967
"i had upgraded my old macbook to lion, so i kind of knew what i was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",[],0.43441907
i have had a mac for 6 years and won't go back to pc.,[],0.5079742
i love to use it it is esay and light.,[],0.2951841
after about another month i had to send it in again to acer for repairs.,[],0.557388
i love it!,[],0.15960014
the #1 reason that is always repeated.,[],0.12292199
"unfortunately, that is not the case.",[],0.25451025
anyways i bought this two months ago and when i first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,[],0.38791022
no viruses!,[],0.40237412
"i'm just really happy that i waited to buy, because this thing kicks a$$!",[],0.50282294
"the hewitt packard pavillion dv6700 was my first laptop, before this i had a dell desktop that i loved.",[],0.60023355
it was an all around waste of money for me.,[],0.35885873
i worked in it retail sales before.,[],0.4182541
it has everything you need to get the job done.,[],0.28350303
"it is loaded with programs that is of no good for the average user, that makes it run way to slow.",[],0.5040964
"i feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",[],0.24864842
it cant fuction well with lots of webpages open at once.,[],0.43120334
"finally, i should note that i took the 2gb ram stick from my old eeepc and installed it before i even powered on for the first time.",[],0.41805702
its not bad just very very annoying.,[],0.263508
"well, maybe more like week one.",[],0.066048235
"i believe i purchased this in dec 09 for my primary work laptop which is used 5-10 hours a day, 4-6 days a week.",[],0.4096487
then on top of it all their cusromer service center is in the middle east.,[],0.086987
i liked the aluminum body.,[],0.25814122
its good for playing my apps on facebook or watching movies.,[],0.47078103
"i love the dock where i can simply drop a file ontop of a particular program, and the program will simply open that file.",[],0.21252792
"sorry, newegg.",[],0.36008716
be safe buy a sony.,[],0.48126552
originally bought it for my wife.,[],0.27984825
i bought this laptop on saturday and am completely in love with it!,[],0.6678794
"now,,,,,my monitor has been acting up for about 2 months.",[],0.41901886
"buy it, love it, and i promise you won't regret it.",[],0.39452082
i needed a driver for my hp and they would not help me with out me paying over $50 for it.,[],0.45607919
"if you don't like fingerprints, this might not be the laptop for you.",[],0.58456254
"call tech support, standard email the form and fax it back in to us.",[],0.18851946
they sent it back with a huge crack in it and it still didn't work.,[],0.40444106
"a coupla months later, they change my hard drive.",[],0.4946229
"the 13"" macbook pro is portable, durable, and very capable.",[],0.46449235
i should have spent an extra hundred bucks and got a full sized computer.,[],0.5862812
great overall.,[],0.20015068
my smart phone is faster!,[],0.4327851
i have full control at all times of what is going on - there is no control+alt+delete business anymore.,[],0.30994037
i own other macs but always find myself navigation to the macbook pro to get my work done.,[],0.531611
this is my 3rd apple laptop and first macbook pro.,[],0.56932366
i have had this laptop for a few months now and i would say im pretty satisfied.,[],0.66973394
the love part of my relationship with this laptop doesn't take very long.,[],0.62812996
not enough time for me to give it 5 stars!,[],0.164664
"so, buyers beware!",[],0.33148366
"i have no idea how to burn cd's or to use the web cam, just for starters.",[],0.28640762
"again, i sent it off to acer, by this time they were paying for me to send it to them and everything, but it was still inconvienent because of my classes and my communication with my fiance.",[],0.5441963
definitely recommended!!!,[],0.2455203
let me start with the good:so awesome.,[],0.20404896
i had finally reached my limit and broke down.,[],0.1889929
"do i like the computer? well, other than not getting viruses, i guess it is ok.",[],0.5848204
"for the bluetooth to work properly, you must install the launch manager on the drivers/applications dvd, or it will not show after the reload.",[],0.20965421
i waited and waited and no laptop.,[],0.54263026
everything is falling apart internally and externally.,[],0.2512274
"it super shiny, so you can see the fingerprints easily.",[],0.20878421
"it's not a wear-and-tear issue, not due to user carelessness and most importantly, they can't guarantee the problem will be solved if it is sent for service and i have to accept the outcome.",[],0.34165925
its a dog plain and simple.,[],0.12091006
i bought this notebook and only had it for 3 months if it is overload with updates the boot mgr.,[],0.60132384
oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,[],0.36680424
they refuse.,[],0.04239993
big mistake!,[],0.13919447
best buy was great as always and accepted the return and gave me another model 1764.,[],0.5341544
my friends or children use that when they need to borrow the net =) when i out grow this meaning when its old and my oldest child is ready for one she will get this one and i will be buying only toshiba!,[],0.5015429
i am just amazed.,[],0.22637674
"i burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so i can place it there.",[],0.30779326
i thought all my problems would finally be solved being that my old computer wouldn't go onto our wireless network and i wouldn't have the same problems because it was updated.,[],0.44829884
"also, hdd secures inside using rails, and there is only one set on the main hard drive.",[],0.26864293
"if you're not wanting to be mobile, this is a good laptop to sit on a desk.",[],0.6019566
i also travel with it and it never gives me any problems.,[],0.38541234
just don't waste your time and money on this.,[],0.2908046
"(beware, their staff could send you back making you feel that only they know what a computer is.",[],0.5044287
"i have a lapdesk which i can use, but i can still feel the heat through the foam and plastic.",[],0.2765703
and its really cheap and you wont regret buying it.,[],0.44022587
it was over rated!,[],0.17677304
my sister has the same mac as me and she is in a band and uses garageband to record and edit.,[],0.3841114
i wasn't really sure i wanted to spend that kind of money!,[],0.28796643
i took the computer back in yet again except this time they kept it to send into their geek squad headquarters.,[],0.4809156
"thank god for ""ctrl z""bottom line, i've been using laptops since the mid 90s and probably the majority of brands out there.",[],0.63504446
"even with virus protection, it always turned off when updates were needed and installed.",[],0.33882862
"they are wonderful, but very dangerous when it comes to emitting heat.",[],0.1334986
"heck, if i had enough ' money, i would but it as a gift for someone.",[],0.2084062
"even so, i like playing online games, so it was wonderful that there is a feature where i can dualboot windows.",[],0.39286515
i have not have any problems.,[],0.36259845
me and my boyfriend bought the gateway nv78 in nov of 09.,[],0.51029503
the nortons virus scan is only for a very short time unlike others that usually are good for a year.,[],0.26829156
it is stamped and not in pieces therefore it is a stronger more resilient frame.,[],0.114944875
"two, owning a 17 in.mac book gives the flexibility to sit anywhere you want without worry about bother anyone.",[],0.4303565
sent unit back and it's been two months.,[],0.38752028
came fully loaded - good.,[],0.280859
(i definatly can't).,[],0.07718658
"files as well would become lost, deleted or corrupted.",[],0.26513374
it is meant to be portable.,[],0.3429084
my laptop worked again for just a while before i started having issues again.,[],0.43882978
this is perfect for her field.,[],0.16162415
taking it back less than 24 hours of purchase,[],0.3435626
that's the downside for me.,[],0.26805377
hopefully amazon will take this back.,[],0.358309
they ended up keeping my computer for almost 3 months!,[],0.6096718
but i needed a laptop for school use.,[],0.6271625
he can't stand it.,[],0.07457181
the only thing that i don't like about my mac is that sometimes there are programs that i want to be able to run and i am not able to.,[],0.45935154
"looking online, many people are having the same problem.",[],0.2621049
this is my second mac book pro.,[],0.554372
"all the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",[],0.51239395
theres a built in camera with special effects- for video and photography.,[],0.23310658
i went right out and purchased another laptop.,[],0.61998284
"long story short, since i experience so many problems with my laptop every since i bought it from day one, i didn't ask for a new laptop or a refund of what i pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",[],0.62878746
i am able to play 720p and 1080p media files just fine with it.,[],0.27739635
so think about factoring those things in when you purchase.,[],0.25742087
took the netbook on a vacation trip and i was able to do whatever i wanted to do without lugging a much heavier laptop.,[],0.58873636
everything was up and running within 15 minutes of unboxing.,[],0.29518962
went silently.,[],0.11137633
satisfy what i paid for it.,[],0.28178686
so you don't get frustrated the first few weeks.,[],0.18916412
"they said that my computer was covered on an extended warranty, and that products with extended warranties are taken care of through third parties and not sony itself anymore.",[],0.4287477
it is truly a desktop replacement.,[],0.62712777
i only used it to browse the internet and and i dont know how many times it has spontaniously shut down and it is just a blank screen now.,[],0.47334433
and if u did.,[],0.09910632
it was definelty a smart move.,[],0.05129483
apparently they are defective since they are not securely attached.,[],0.15294051
sure hope best buy will replace it asap.,[],0.37400547
i babyed the heck out of it and i still do.,[],0.14069635
handles all my basic media needs easily.,[],0.5161909
just what the doctor ordered.,[],0.09314984
"all in all, i'm incredibly dissatisfied with this laptop, and with hp as a whole.",[],0.7314679
i was taught to use photoshop and was amazed.,[],0.2734894
i can hardly wait to see whats around the next corner.,[],0.18792327
4gb of ram...,[],0.4885666
"i did a review on it, its awesome.",[],0.34604514
"before we got this laptop, had a compaq pasaro for 5 years with no problems.",[],0.6065078
"the only problem is that i had to add 1 gb ram, the computer was kinda slow.",[],0.6248874
with the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,[],0.42651513
the computer could have been shipped by priority mail through the usps for the same cost and arrived by noon on tue.,[],0.31509185
"the driver updates don't fix the issue, very frustrating.",[],0.3196803
do your research on this issue.,[],0.22164491
it has happened again and i'm being told that it's $175.,[],0.24886538
"bigger hd, better graphics card, and a bid hd.",[],0.5290381
no big deal.,[],0.20342904
"mine came at $1,700 w/o a dvd burner (!).",[],0.3830538
the dvd burner broke after burning 3 dvd'd during that time!,[],0.35200337
but you must get the 15 inch.,[],0.3122578
i will be returning it and switching brands when i get to best buy.,[],0.5098066
please make these!,[],0.019485775
"after the first few months, the computer started crashing about every week.",[],0.46498525
"again, the same problem, the right speaker did not work.",[],0.2041092
"before i bought my new i5, i did my research for about 2 weeks and determined to move for hp to apple for reliability, dependable, and long lasting operations.",[],0.48248032
this has been nothing but a headache since we purchased it.,[],0.42153007
and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,[],0.4573696
this was the 3rd day and part still had not been shipped.,[],0.16539586
that being said after 2 weeks of owning every time i start it up now it gives me a black screen for 5-8 seconds stating pxe-e61 media test error check cable.,[],0.39685783
"it's fun to take to a bookstore, sit in the coffee shop area, sign in to wifi and look up book reviews of books i might buy.",[],0.3108983
"not super fancy, but not super expensive either.",[],0.36138144
"-stay away from apple, or hope you laptop does not break down.",[],0.65225494
it's a great prodcut to handle basic computing needs.,[],0.5937531
i had to call hp and ask for a recovery disk because the computer does not come with one and completely redo it all.,[],0.31081012
i like those programs better than office and you can save your files to be completely compatible with the office programs as well.,[],0.41261026
"when typing, letters and spaces are frequently omitted requiring the user to redo many words and sentences.",[],0.1869436
"only a few days after i received the computer back, the screen froze again.",[],0.42821822
it is not ideal for children because of the temp.,[],0.098717846
"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!",[],0.4296989
i or my dad paid over twenty four hundred dollars for everything.,[],0.1761917
that includes transferring my music and movies.,[],0.29586476
"took that one home, same thing.",[],0.14948107
"great, quick laptop for the money.",[],0.66441584
"one more tip, please purchase this model and get a 4gb stick of ram to save you $10",[],0.5550271
"by week two, my laptop had overheated and was completely dead even though i did not use it too much.",[],0.60246074
and it is impossible to get them back in.,[],0.13166092
my last laptop gave me a constant battle even though it was also completely new.,[],0.61450857
i have been a mac user since the mid 90s.,[],0.50594455
it has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,[],0.50915366
after the bad experience with this computer went back to compaq.,[],0.58656883
finally after months of research the discovered that they mailed it to a walmart and there probably would be no way to find the box.,[],0.11010643
it's solid.,[],0.2603748
"it lasted for many years of travel, kids and abuse and if i fired it up today, it would work.",[],0.28444928
"it freezes, and it always shows that there is an error, so i have to restart it a few times every time i use it.",[],0.40831384
"however, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the lcd).",[],0.51829576
"it is not even a year old yet, so i would definitely not recommend it to anyone.",[],0.23203658
