text,terms,lab_sim
i was looking for a mac which is portable and has all the features that i was looking for.,"[('features', None), ('mac', None)]",0.5454379
"i honestly love my mac, thats why i am a self proclaimed mac addict.","[('mac', None)]",0.5807377
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,"[('windows', None)]",0.34550914
spent 2 hours on phone with hp technical support.,"[('hp technical support', None)]",0.53265154
"speaking of the browser, it too has problems.","[('browser', None)]",0.49149224
i think just going from pc to mac has gotten me totally spoiled and i can't imagine ever going back.,"[('pc', None)]",0.47334388
the keyboard is too slick.,"[('keyboard', None)]",0.47539672
"it's like 9 punds, but if you can look past it, it's great!","[('punds', None)]",0.14207277
"still under warrenty so called toshiba, no help at all.","[('toshiba', None)]",0.5454332
i was happy with my purchase of a toshiba satellite l305d-s5934 laptop until it came time to have it repaired under the toshiba warranty.,"[('toshiba satellite l305d-s5934 laptop', None)]",0.66808414
amazing quality!,"[('quality', None)]",0.23626341
the fact that you can spend over $100 on just a webcam underscores the value of this machine.,"[('machine', None), ('value', None)]",0.5245062
"the system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.","[('works', None), ('system', None)]",0.40766254
"if you had pc for four years i can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.","[('pc', None)]",0.4873211
this machine delivers.,"[('machine', None)]",0.40971947
then 2 of my nephews were going into music and both fell in love with the macbook pro.,"[('macbook', None)]",0.5803788
this laptop is insane!!!,"[('laptop', None)]",0.6906516
it does run a little warm but that is a negligible concern.,"[('run', None)]",0.12478706
it rarely works and when it does it's incredibly slow.,"[('works', None)]",0.46804044
i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program.,"[('windows 7', None)]",0.543591
purchased a toshiba lap top it worked good until just after the warrenty went out.,"[('toshiba lap top', None)]",0.5976298
i always swore by pcs and would never consider a mac.,"[('pcs', None)]",0.5205648
"what an elegant, wonderful machine.","[('machine', None)]",0.34818003
this is now my 3rd macbook pro and i really honestly love it!,"[('macbook', None)]",0.6668291
"i wanted to purchase the extended warranty and they refused, because they knew it was trouble.","[('warranty', None)]",0.32041395
do you ever think hp would do that? never!,"[('hp', None)]",0.3588346
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,"[('speed', None)]",0.3060779
i bought the netbook because it was smaller and lighter for me to carry around.,"[('netbook', None)]",0.4988572
thank you for your great product!,"[('product', None)]",0.24643259
"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...","[('products', None)]",0.19991505
"sorry toshiba, but 1st impressions do count for something.","[('toshiba', None)]",0.5926546
and if you have a iphone or ipod touch you can connect and download songs to it at high speed.,"[('ipod', None)]",0.28333148
overall this laptop is great.,"[('laptop', None)]",0.7446269
i love the glass touchpad.,"[('glass touchpad', None)]",0.48503572
i am using the external speaker- sound is good.,"[('sound', None)]",0.22607593
the apple mc371ll/a 2.4ghz 15.4-inch macbook pro notebook is a horrible waste of money.,"[('mc371ll/a 2.4ghz 15.4-inch macbook', None)]",0.64326864
"ok, this is probably the best laptop series ever devised by apple.","[('laptop series', None)]",0.6585966
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.","[('upgrade', None)]",0.54045737
i just hope the reputation that toshiba has is true and i won't have to worry about a crash.,"[('toshiba', None)]",0.6067511
"oh yeah, don't forget the expensive shipping to and from hp.","[('shipping', None)]",0.47946298
i would recommend anyone to buy from pcconnection express.,"[('pcconnection', None)]",0.46178526
good luck.,"[('luck', None)]",0.16361383
"everything is so easy to use, mac software is just so much simpler than microsoft software.","[('use', None), ('mac software', None)]",0.49058005
"my favorite by far, although the most expensive, was my sony.","[('sony', None)]",0.5044167
as an owner of a toshiba satalite laptop computer things you should know before you buy.,"[('toshiba satalite laptop computer', None)]",0.6188363
its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"[('service', None), ('use', None)]",0.5618261
"it has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","[('word editing', None), ('web browsing', None), ('battery life', None)]",0.39334366
"i also purchased office max's ""max assurance"" with the ""no lemon"" clause.","[('office max', None)]",0.30540192
if you find yourself in the market for a new laptop (and have the money) don't exclude looking at the mbps.,"[('mbps', None)]",0.62578017
"the battery life seems to be very good, and have had no issues with it.","[('battery life', None)]",0.41153324
temperatures on the outside were alright but i did not track in core processing unit temperatures.,"[('core processing unit temperatures', None)]",0.18587594
images can be multi-selected and viewed swiftly or in slideshow mode.,"[('images', None)]",0.15163936
going to bring it to service today.,"[('service', None)]",0.27578148
"so, i paid a visit to lg notebook service center at alexandra road, hoping they can make the hinge tighter.","[('lg notebook service center', None)]",0.35001245
"it is always reliable, never bugged and responds well.","[('response', None)]",0.4410195
"it was slow, locked up, and also had hardware replaced after only 2 months!","[('hardware', None)]",0.61912805
"yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.","[('weight', None), ('computer', None)]",0.5632897
"also, if you need to talk to a representive at microsoft, there is a charge, which i believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with xp if they could.","[('xp', None)]",0.47432476
i love windows 7 which is a vast improvment over vista.,"[('windows 7', None)]",0.5835772
this mac is great!,"[('mac', None)]",0.6526114
"keyboard is great, very quiet for all the typing that i do.","[('typing', None), ('keyboard', None)]",0.4499477
i grew up in a design family so it only made sense.,"[('design family', None)]",0.22205947
it would take up too much time to do reaearch for my papers and i would be up hours-just because the computer was too slow.,"[('computer', None)]",0.31724378
dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,"[('dell', None)]",0.47084755
i'd recommend this laptop to anyone!,"[('laptop', None)]",0.7040289
"yet, hp won't do anything about the problem.","[('hp', None)]",0.3387241
"it had a cooling system malfunction after 10 minutes of general use, and would not move past this error.","[('cooling system', None)]",0.3622141
"this is what they told me: it heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables.","[('laptops', None), ('heats up', None)]",0.47961444
"after talking it over with the very knowledgeable sales associate, i chose the macbook pro over the white macbook.","[('macbook', None)]",0.5535428
"if you really want a bang-up system and don't need to run windows applications, go with an apple;","[('windows applications', None)]",0.54213804
one of them seems to have worked.,"[('worked', None)]",0.24191178
the problem i had with this unit was unresolvable.,"[('unit', None)]",0.30988687
"2 months later, the battery went.","[('battery', None)]",0.35195932
it's color is even cool.,"[('color', None)]",0.22099136
and it has blue screen crashed on me twice.,"[('blue screen', None)]",0.53676516
keys are all in weird places and is way too large for the way it is designed.,"[('keys', None)]",0.25295806
we purchase the dell xps several years ago for my home business.,"[('dell xps', None)]",0.62854487
i would recommend anyone to buy from pcconnection express.,"[('pcconnection', None)]",0.46178526
"yes, a mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.","[('style', None), ('speed', None)]",0.50742424
he gave me this pc about 3 years ago and up to this point im still sitting here using it.,"[('pc', None)]",0.5609073
the keyboard feels good and i type just fine on it.,"[('keyboard', None)]",0.44554263
shiny this laptop is the best of the best!,"[('laptop', None)]",0.6488452
"and not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.","[('battery', None)]",0.43836483
money and time well spent!,"[('time', None), ('money', None)]",0.31462765
gradually the freezing screen evolved into a screen that froze in weird shapes.,"[('shapes', None)]",0.31027144
"best buy - 5 stars + + + (sales, service, respect for old men who aren't familiar with the technology) dell computers - 3 stars dell support - owes a me a couple","[('dell computers', None), ('service', None)]",0.5639104
good laptop for the money.,"[('laptop', None), ('money', None)]",0.70497876
i like the laptop overall.,"[('laptop', None)]",0.72094506
i am however pleased that it is still hanging in there.,"[('hanging', None)]",0.2990329
"yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.","[('speed', None), ('construction quality', None), ('quality', None), ('cost', None), ('longevity', None)]",0.14303482
) i also tried the touch pad and compared it to other netbooks in the store.,"[('touch pad', None)]",0.56157863
"it absolutely is more expensive than most pc laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.","[('use', None), ('security', None)]",0.5947207
will probably never buy a hp again.,"[('hp', None)]",0.48986483
my favorite part of this computer is that it has a vga port so i can connect it to a bigger screen.,"[('vga port', None)]",0.56984746
another thing i might add is the battery life is excellent.,"[('battery life', None)]",0.630185
"one drawback, i wish the keys were backlit.","[('keys', None)]",0.3892817
"when the buyer returned it wal mart just boxed it, taped it shut resold it as new.","[('wal mart', None)]",0.2798439
what a great little laptop.,"[('laptop', None)]",0.6884859
"acer was no help and garmin could not determine the problem(after spending about 2 hours with me), so i returned it and purchased a toshiba r700 that seems even nicer and i was able to load all of my software with no problem.","[('garmin', None), ('acer', None)]",0.43314296
i wish the volume could be louder and the mouse didnt break after only a month.,"[('volume', None), ('mouse', None)]",0.46610788
"i play a lot of casual games online, and the touchpad is very responsive.","[('touchpad', None)]",0.4321046
"it is everything i'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.","[('feel', None), ('look', None)]",0.27154166
"the bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.","[('bluetooth', None), ('software', None)]",0.30339772
"great battery, speed, display.","[('display', None), ('battery', None), ('speed', None)]",0.5319259
i would not recommend this product to anyone.,"[('product', None)]",0.23000252
"the delivery was fast, and i would not hesitate to purchase this laptop again.","[('delivery', None)]",0.6788142
i've been impressed with the battery life and the performance for such a small amount of memory.,"[('performance', None), ('battery life', None)]",0.61089396
"they improved nothing else such as resolution, appearance, cooling system, graphics card, etc.","[('resolution', None), ('cooling system', None), ('graphics card', None)]",0.4194671
is this partially due to the fact that it is running windows vista?,"[('windows vista', None)]",0.45836982
i bought them for my college age grandchildren and these macs are totally reliable and support their class work 100% of the time.,"[('support', None)]",0.49249417
the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,"[('connector', None), ('power supply', None)]",0.32834864
"my dad has one of the very first toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!","[('works', None)]",0.44980317
mostly i love the drag and drop feature.,"[('drag and drop feature', None)]",0.3874569
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?","[('webcam', None)]",0.31062135
very fast and efficient!,"[('speed', None), ('efficient', None)]",0.32035053
"of course, i also have several great software packages that came for free including iwork, garageband, and imovie.","[('iwork', None)]",0.2797228
the screen is very large and crystal clear with amazing colors and resolution.,"[('resolution', None), ('screen', None), ('colors', None)]",0.3662426
"after a little more than a year of owning my macbook pro, the monitor has completely died.","[('macbook', None)]",0.5081502
"in my house, hp is a nasty word.","[('hp', None)]",0.29098278
"the brand of itunes has just become ingrained in our lexicon now, but keep in mind that apple started it all.","[('brand of itunes', None)]",0.3137172
i still see the benefits of a pc when i do not know how to do something on my mac.,"[('pc', None)]",0.5552879
"size: i know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.","[('monitor', None), ('size', None)]",0.4031014
additional caveat: the base installation comes with some toshiba-specific software that may or may not be to a user's liking.,"[('toshiba-specific software', None)]",0.51918393
"it has no camera but, i can always buy and install one easy.","[('install', None)]",0.11564611
"the display is incredibly bright, much brighter than my powerbook and very crisp.","[('display', None), ('brightness', None)]",0.478536
we were pc users.,"[('pc users', None)]",0.38539526
the amd turin processor seems to always perform so much better than intel.,"[('performance', None), ('amd turin processor', None)]",0.43338054
after that the said it was under warranty.,"[('warranty', None)]",0.36632428
"this computer was awful, i would never recomend it to another person.","[('computer', None)]",0.71079963
the service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,"[('service tech', None)]",0.26586074
the screen is bright and the keyboard is nice;,"[('screen', None), ('keyboard', None)]",0.49488732
"i look forward to years of use, it has held up well over the years and it fits my needs very well.","[('fits', None)]",0.2600666
im very happy with this computer!,"[('computer', None)]",0.6390798
but the machine is awesome and ilife is great and i love snow leopard x.,"[('machine', None), ('ilife', None)]",0.5047932
"high price tag, however.","[('price tag', None)]",0.31233636
"my kids have to take their pcs in once a year to have them ""de-bugged"".","[('pcs', None)]",0.3115084
"since i purchased my toshiba netbook, i have been very pleased with it, i have a laptob and a desktop.","[('toshiba netbook', None)]",0.6764688
i bought my macbook a few months ago and it has been my baby ever since.,"[('macbook', None)]",0.61007375
that is how it is able to function better than any other pc.,"[('function', None)]",0.5841195
it is easy to use and lightweight.,"[('use', None), ('lightweight', None)]",0.36304256
i went to toshiba online help and found some suggestions to fix it.,"[('toshiba', None)]",0.45861968
they also have a longer service life than other computers (i have several friends who still use the older apple powerbooks).,"[('service life', None)]",0.63147265
if you check you will find the same notebook with the above missing ports and a dual core amd or intel processor.,"[('intel processor', None), ('ports', None)]",0.39933735
this laptop is a great price and has a sleek look.,"[('laptop', None), ('price', None), ('look', None)]",0.72476214
i especially like the keyboard which has chiclet type keys.,"[('chiclet type keys', None), ('keyboard', None)]",0.5354368
small screen somewhat limiting but great for travel.,"[('screen', None), ('size', None)]",0.48807442
one of the primary reasons why i purchased an ipad was to store photographs so that i could show to my customers.,"[('ipad', None)]",0.42686018
runs hot i thought we were paying for quality in our decision to buy an apple product.,"[('quality', None)]",0.5037188
the gray color was a good choice.,"[('color', None)]",0.19348738
this was the second computer and brand bought that day.,"[('brand', None)]",0.6080391
"i love this product because it is toshiba and its 15.6"".","[('product', None)]",0.47275707
i would like to have volume buttons rather than the adjustment that is on the front.,"[('volume buttons', None)]",0.118652396
people know what they are talking about and they have pride in the product that they are selling.,"[('product', None)]",0.17545877
the processor a amd semprom at 2.1 ghz is a bummer it does not have the power for hd or heavy computing.,"[('processor', None), ('power', None)]",0.5112605
would highly recommend this netbook though.,"[('netbook', None)]",0.6147726
"i have had several machines over the years, both for personal and business use.","[('machines', None)]",0.43538117
i bought a protector for my key pad and it works great :),"[('works', None)]",0.19888484
it seems they could have updated xp and done without creating vista.,"[('xp', None)]",0.39895213
"it is easy to use, fast and has great graphics for the money.","[('use', None), ('graphics', None)]",0.59796923
i like how the mac os is so simple and easy to use.,"[('mac os', None)]",0.61417156
"while apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.","[('support', None), ('products', None)]",0.44077754
i have had laptops in the past and i thought why not give these small netbooks a try.,"[('netbooks', None)]",0.6073408
only good thing is the graphics quality.,"[('graphics quality', None)]",0.59153557
"i love the 15"" macbook pro.","[('15"" macbook', None)]",0.650252
breaks easily.,"[('breaks', None)]",0.2744954
the paint wears off easily due to the keyboard being farther back than usual.,"[('paint', None)]",0.38474452
"that's right, no power, absolutely nothing.","[('power', None)]",0.1374968
i had purchased it from a major electronics store and took it to their service department to find out what the problem was.,"[('service', None)]",0.4207454
the store honored their warrenty and made the comment that they don't even recommend the hp brand because of the problems with their warrentys.,"[('hp brand', None)]",0.46520507
"they sent out the box right away for me to send in my computer, they paid postage and whatnot, but when i got my computer back it still wasn't running right, and now my cd drive wasn't reading anything!","[('cd drive', None)]",0.3975041
i bought this laptop was the worst laptop i've ever bought.,"[('laptop', None)]",0.7334935
but the screen size is not that bad for email and web browsing.,"[('screen size', None)]",0.48745435
this computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,"[('computer', None)]",0.42807898
"obviously one of the most important features of any computer is the ""human interface.","[('features', None), ('human interface', None)]",0.4668121
the body is a bit cheaply made so it will be interesting to see how long it holds up.,"[('body', None)]",0.14502484
the i5 blows my desktop out of the water when it comes to rendering videos.,"[('i5', None)]",0.49767014
for the use it was purchased for it is a good laptop.,"[('laptop', None), ('use', None)]",0.6951359
"am very glad i bought it, great netbook, low price.","[('netbook', None), ('price', None)]",0.7020471
"obviously, this macbook is p-e-r-f-e-c-t for me because it does exactly what i need in an easy-to-function way.","[('function', None), ('macbook', None)]",0.42087647
worth the investment and truly a fine piece of equipment.,"[('investment', None), ('piece of equipment', None)]",0.46658346
the apple team also assists you very nicely when choosing which computer is right for you :),"[('apple team', None)]",0.5867235
summary: dont buy hp.,"[('hp', None)]",0.47517765
the video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,"[('video chat', None)]",0.52158964
you'll need to upgrade and pay a little more for them.,"[('upgrade', None), ('pay', None)]",0.3359195
it is hard to fix and makes it a hassle to own one.,"[('fix', None)]",0.54012144
"macs are designed for the ""frontal lobe challenged"" people out there.","[('macs', None)]",0.3789165
"fan vents to the side, so no cooling pad needed, great feature!","[('feature', None), ('fan vents', None)]",0.15632553
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.","[('use', None), ('software', None)]",0.52357394
wasted me at least 8 hours of installation time.,"[('installation time', None)]",0.40762106
"it has far exceeded my expectations for power, storage, and abilitiy.","[('storage', None), ('abilitiy', None), ('power', None)]",0.53408915
"a great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.","[('feature', None)]",0.06340017
my wireless system would not recognize windows 7 and i couldn't get online to find out why.,"[('windows 7', None)]",0.32542792
i am enjoying it and the quality it provides is great!,"[('quality', None)]",0.46456265
it is the worst laptop ever,"[('laptop', None)]",0.6834992
"i'm not going to lie, i've never really liked the acer brand in general.","[('acer brand', None)]",0.6020699
"the os is also very user friendly, even for those that switch from a pc, with a little practice you can take full advantage of this os!","[('os', None)]",0.61116827
"itunes is a handy music-management program, and it is essential for anyone with an ipod.","[('ipod', None)]",0.2795393
"while it was barely a bargin in the begining, i would never purchase another dell and would not recomend the dell brand to others.","[('dell brand', None)]",0.6427998
great product.,"[('product', None)]",0.27645946
mac is not made for gaming.,"[('mac', None)]",0.46817172
"well i spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 dvd.","[('battery', None), ('model', None)]",0.35112438
by this time i was regretting ever seeing this machine on the shelf!,"[('machine', None)]",0.39595604
"toshiba is a great brand, even though i haven't had it for a long time, i am very happy with it!","[('toshiba', None)]",0.65155905
i need graphic power to run my adobe creative apps efficiently.,"[('adobe', None)]",0.29828927
so when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of people you cant understand.,"[('hunk of metal', None)]",0.16376483
it does not even have the software to play a dvd now.,"[('software', None)]",0.421217
my brother is a computer wiz and would laugh at me because he used an apple.,"[('wiz', None)]",0.5164081
how does the power supply not work!!!,"[('power supply', None)]",0.24691743
sells for the same as a netbook without sacrificing size.,"[('size', None)]",0.5546932
i'll rather be out of date then spend more money on toshiba.,"[('toshiba', None)]",0.54081047
"windows xp sp2 caused many problems on the computer, so i had to remove it.","[('windows xp sp2', None)]",0.46107537
"i reloaded with windows 7 ultimate, and the bluetooth and fingerprint reader (software) would not load.","[('windows 7', None)]",0.3629498
none of the techs at hp knew what they were doing.,"[('techs', None)]",0.31591532
"oh, it is such a great piece of equipment.","[('piece of equipment', None)]",0.3715889
"this is my second one and the same problem, bad video card unreliable overall, this will be my second time returning this laptop back to best buy.","[('video card', None)]",0.4084767
"with awesome graphics and assuring security, it's perfect!","[('security', None), ('graphics', None)]",0.4793569
"laptop was in new condition and operational, but for the audio problem when 1st sent for repair.","[('audio problem', None), ('condition', None), ('laptop', None)]",0.4520065
i was disappointed when i realized that the keyboard doesn't light up on this model.,"[('keyboard', None)]",0.44752392
this machine was a horrible experience.,"[('machine', None)]",0.47407374
it runs perfectly.,"[('runs', None)]",0.44041842
the laptop was very easy to set up.,"[('set up', None)]",0.61637527
sometimes the screen even goes black on this computer.,"[('screen', None)]",0.4733319
i recommend for word processing and internet users.,"[('internet users', None), ('word processing', None)]",0.4245007
since i've had this computer i've only used the trackpad because it is so nice and smooth.,"[('trackpad', None)]",0.52619565
a longer battery life would have been great - but it meets it's spec quite easily.,"[('battery life', None)]",0.44285908
"who couldn't love a dvd burner, 80-gigabyte hd, and fairly new graphics chip? as i soon discovered, though, there is a reason for which similarly-configured sony and toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.","[('toshiba machines', None)]",0.5323802
"mac computers automatically ""defrag"" each time you start your computer.","[('mac computers', None)]",0.36825195
the salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,"[('software problems', None)]",0.63290685
that system is fixed.,"[('system', None)]",0.30667132
"the computer itself was fast, ran smoothly, and had no problems.","[('run', None), ('computer', None)]",0.60718584
like the price and operation.,"[('price', None), ('operation', None)]",0.2352993
the brand is tarnished in my heart.,"[('brand', None)]",0.1828651
"this is likely due to poor grounding and isolation between the components, and i'm hoping that it can be fixed with a ground loop isolator, but i still expected better product quality for this price range.","[('grounding', None), ('isolation', None), ('product quality', None)]",0.25185537
i 'have had it for about a 1 1/2 and yes i have had an issue with it one month out of warranty.,"[('warranty', None)]",0.27407944
"don't get me wrong, i am no microsoft hater, i've just managed to turn into a much bigger apple fan because of this machine.","[('microsoft', None)]",0.5301832
hp refused to give me a new one and wal mart refused to take it back.,"[('hp', None)]",0.4571767
maximum sound isn't nearly as loud as it should be.,"[('maximum sound', None)]",0.26581526
i loaded windows 7 via bootcamp and it works flawlessly!,"[('windows 7', None)]",0.33134168
"great laptop for the price, works well with action pack games.","[('works', None), ('laptop', None), ('price', None)]",0.6105229
"although the price is higher then dell laptops, the macbooks are worth the dough.","[('dell laptops', None), ('price', None)]",0.67008805
i would recomend this acer to parents and grandparents it can really help them in school.,"[('acer', None)]",0.4932986
i would not recommend this to anyone wanting a notebook expecting the performance of a desktop it does not meet the expectations.,"[('performance', None), ('notebook', None)]",0.64576674
"the macbook arrived in a nice twin packing and sealed in the box, all the functions works great.","[('twin packing', None), ('functions', None)]",0.42584378
i hate the display screen and i have done everything i could do the change it.,"[('display screen', None)]",0.47852156
i spent alot of money on this product and its been a nightmare.,"[('product', None)]",0.4020151
i also like the acer arcade but these were reallythe only two things i liked about this laptop.,"[('acer arcade', None)]",0.6177672
"have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of pc in my opinion.","[('customer support', None)]",0.60955846
"i gave it to my daughter because i just hated the screen, hated that it had no cd drive to at least play cd's when i wanted to listen to music and do schoolwork.","[('cd drive', None)]",0.5622858
it runs very quiet too which is a plus.,"[('runs', None)]",0.4719824
but it has a major design flaw.,"[('design flaw', None)]",0.3596878
"it was heavy,bulky, and hard to carry because of the size.","[('weight', None), ('carry', None), ('size', None)]",0.2542063
that was my first apple product and since then i have been incredibly happy with every product of theirs i have bought.,"[('product', None)]",0.4718762
"it is super fast, and always loads.","[('loads', None)]",0.39985487
the games included are very good games.,"[('games', None)]",0.24896494
"this computer will last you at least 7 years, thats an amazing life spanned an electronic.","[('life spanned computer', None)]",0.58189666
i had something else go wrong and they said it had to be in good working order to be able to buy the warranty.,"[('working order', None)]",0.4501427
it's super fast and a great value for the price!,"[('value', None), ('price', None)]",0.38157043
a mac is very easy to use and it simply makes sense.,"[('mac', None), ('use', None)]",0.5707994
"of course, emachines cannot be made entirely to blame for this computer's woes;","[('emachines', None)]",0.47854707
it is so much easier to use,"[('use', None)]",0.42059836
meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,"[('fits', None)]",0.20160781
"the apple will run internet explorer, but at an amazingly slow rate.","[('internet explorer', None)]",0.49207956
"the computer is so slow, even after paying staples the extra money to speed it up.","[('computer', None)]",0.54031634
"the price premium is a little much, but when you start looking at the features it is worth the added cash.","[('features', None), ('price premium', None)]",0.45608822
*5 weeks after giving the computer for repair*-apple offers to send replacement after they receive the old computer.,"[('repair', None)]",0.49801415
i can't say enough of how satisfied i am with their product and help aftermarket.,"[('help', None), ('product', None)]",0.3859215
my computer was one of the best in the school compared to my fellow classmates.,"[('computer', None)]",0.5934536
compresses itself and you can't use it.,"[('compresses itself', None)]",0.19788048
microsoft word was not on it andi had to buy it seperately.,"[('microsoft word', None)]",0.4235116
"my toshiba did not have sound on everything, just certain things.","[('toshiba', None)]",0.33244735
"i am overall very pleased with my toshiba satellite, i like the extra features, i love the windows 7 home premium.","[('windows 7', None)]",0.6600496
the battery life was shorter than expected.,"[('battery life', None)]",0.47399563
the keyboard is top notch.,"[('keyboard', None)]",0.6018138
do you think the shop will give me a new set?? it will not!,"[('set', None)]",0.10702768
the online tutorial videos make it super easy to learn if you have always used a pc.,"[('online tutorial videos', None)]",0.42831135
bought this gateway m-50 or 150 early 2007.,"[('m-50', None)]",0.39337587
"the image is great, and the soud is excelent.","[('soud', None), ('image', None)]",0.35526785
