text,labs,lab_sim
best buy ended up junking the computer and giving me a replacement computer.,[],0.5828915
this is my second macbook.,[],0.58288515
so buyer beware when buying toshiba,[],0.582742
"it has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",[],0.5824014
"i use my friends and family's $2000 laptops and they are fast and reliable and hp, well, i'll never buy or recommend an hp to anyone!",[],0.58202225
i was given a mac as a birthday present and couldn't be happier with it 3 years later.,[],0.58140564
"if you don't like fingerprints, this might not be the laptop for you.",[],0.5808201
"instead of taking another chance on toshiba, i went with an asus g73jh-x3.",[],0.58059835
i now realize that my $900 would have been better spent on a windows laptop.,[],0.58024263
i just recently had to ship my laptop back to hp for repair.,[],0.5801081
"if what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",[],0.57947123
most laptops and notebooks are difficult to key on.,[],0.57923436
i feel that enough people have macs these days and that companies need to start making things more compatable than they used to be.,[],0.5791857
and dell and best buy both refused to take it back after i only had it for 1 hour....,[],0.57891273
it is extremely user friendly and intuitive.,[],0.57868564
"after years of occasionally pulling my hair out fighting computer viruses, a good friend convinced me it was time to go the apple route.",[],0.57801515
"my husband uses it mostly for games, email and music.",[],0.5776847
i bought this laptop about a month ago to replace my compaq laptop.,[],0.5771906
my wife recently purchased an apple macbook pro and our granddaughter fell in love with it and asked for one for her birthday.,[],0.57702595
if this computer every breaks down on me i will most definatly get the same one again.,[],0.57657886
so i would not reccomend anyone buying this computer,[],0.57605344
i really wanted a mac over a pc because i used a mac in high school.,[],0.575924
i was so excited to receive the toshiba l455 as a gift/bonus for some work i had done for a friend of mine!,[],0.5758031
i had the bulk of problems with my lap top within the first six months.,[],0.57569224
i went right out and purchased another laptop.,[],0.575276
see when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it.,[],0.5750796
do not purchase this laptop.,[],0.5748707
"although i opted for the lowest end macbook pro, this thing holds its own.",[],0.5744294
"before i got my macbook, i owned a dell laptop.",[],0.57426906
i especially appreciate the fact that it has almost zero viruses and spyware problems!,[],0.57407165
we purchased this as a back up computer after our more expensive hp needed to be repaired.,[],0.5737959
i'm all for saving money but dell needs to step it up.,[],0.5728603
"only issue is that it is a little slow, and i'm fixing that by adding more ram.",[],0.5723622
"i am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.",[],0.57219845
) i also tried the touch pad and compared it to other netbooks in the store.,[],0.5717539
"the only thing i wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does.",[],0.57166195
"bought the first asus laptop in san francisco, returned it in santa maria, thinking it was just a problem with that computer.",[],0.5702006
was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba? probably not ever again.,[],0.56999904
"you might think, i am new in this game, but i am a gadget lover, and have had more than 2 dozens laptops in the past 15 years, and none gets this hot, that fast.",[],0.5699699
")only to get another ""hp/compaq"" piece of crap.",[],0.5698496
"apple and quess what, you have to send the whole laptop in, too bad, so sad",[],0.56975895
"if you are a person like me, more on the creative side, the mac has something for you too.",[],0.56920594
i would not recommend the purchase of this modle of toshiba computer or any toshiba product for that matter.,[],0.56898797
"i couldn't afford a new mac, so i bought a pc instead.",[],0.5688376
this was the second computer and brand bought that day.,[],0.5688008
well i got this computer from best buy and i have had nothing but problems i bought the computer with a virus.....,[],0.56872123
"as usual at customer service center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (i could see them).",[],0.56839097
i'm so glad i purchased a mac and not another pc!!!,[],0.56802934
ive owned apple computers and laptops for as long as i could remember.,[],0.56784385
"maybe it's acer, maybe it's msft.",[],0.5675158
"as with any laptop not purchased with software options, it comes with a lot of what i consider useless applications.",[],0.5673824
they ended up keeping my computer for almost 3 months!,[],0.5667017
first i have been searching for long time before i decided to get mac.,[],0.56634164
"i honestly love my mac, thats why i am a self proclaimed mac addict.",[],0.56551516
i got this laptop on black friday.,[],0.56483424
my mac is much more efficient than a pc so it does not need the extra bells and whistles to compete.,[],0.5634346
i would never buy a dell again.,[],0.56341624
i have recently converted back to a mac and i couldn't be happier!,[],0.5630321
i love it and will probably get another one when this goes to the laptop in the sky!!,[],0.56289893
"until i bought the dell, i thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",[],0.56267434
i should have spent an extra hundred bucks and got a full sized computer.,[],0.56178683
"i needed a new computer for graduate school (had never owned a laptop before), and the only reason i didn't purchase a mac was because my school's website strongly recommended students purchase pcs.",[],0.56171453
"if i had to buy another computer, i would most definetly buy an acer one computer.",[],0.56143004
it had most of the features and all of the power that i wanted to replace my desktop machine.,[],0.561056
then 2 of my nephews were going into music and both fell in love with the macbook pro.,[],0.5604665
i my wife is also now the proud owner of a macbook as well!,[],0.55918264
"i claim that this has no value to me, the laptop was new anyway.",[],0.55885595
"this is an over-sized, 18-inch laptop.",[],0.5584603
"accordingly, i have decided to never purchase another hp product (my five year old compaq) lasted 5-years before the hard drive crashed.",[],0.55685663
they have more problems then a 1980's computer.,[],0.5565394
my husband purchased a laptop at the same time for about $300 less (he got a pc).,[],0.5565347
i found this laptop on sale for under 6000 at best buy which was a great deal!,[],0.55576235
"so? how can you solve it? c'mon, i just bought the netbook 2 weeks ago.",[],0.55544424
i paid $800 for this computer from my school campus bookstore.,[],0.5546732
this is my first personal satellite purchase but had very good experience through previous satellite work issued laptops.,[],0.55457014
i went to my local best buy looking for a new laptop since mine broke.,[],0.5537159
"i upgraded it's ram to 2gb, i am very happy with it.",[],0.5528453
"first of all, i've been dell fan for more than fifteen years.",[],0.55279744
and it comes with the new osx that comes with new features that makes the use more easy.,[],0.5512123
"so, after apple replaced the hard drive i enjoyed another 4 months of my new computer, until it froze this morning--completely.",[],0.55108887
i was looking for a mac which is portable and has all the features that i was looking for.,[],0.55108577
"the final cut pro on this laptop is so fast and easy, and i can use this to seemlessly transfer all my work to my home computer, which is also a mac.",[],0.55083823
this a starter notebook.,[],0.55062014
this is my 3rd apple laptop and first macbook pro.,[],0.5501378
"its pretty fast and does not have hiccups while i am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",[],0.5500855
after the bad experience with this computer went back to compaq.,[],0.5499241
i now travel with this laptop and my work pc.,[],0.54959923
"you know, using the computer should be fun, not aggrevation, especially when you are playing games or working with photos.",[],0.54951143
"sony, acer, dell, packard bell and toshiba.",[],0.5495113
i also love having the extra calculator number set up on the keyboard which most laptops do not have.,[],0.5493723
"one more tip, please purchase this model and get a 4gb stick of ram to save you $10",[],0.5490475
"all in all, a very disappointing experience except that i learned how good the geek squad is and also customer service.",[],0.54881734
"after talking it over with the very knowledgeable sales associate, i chose the macbook pro over the white macbook.",[],0.54781735
if you are looking for a netbook pc do not buy from asus!!!,[],0.5471957
i was so excited when my dad said i could get a new laptop for my birthday.,[],0.5470436
i sent it back to toshiba twice they covered it under the warranty.,[],0.54653364
"and at one point, they blame me for installing a bad memory stick when i upgrade my memory for the first time during my purchase of the laptop (i bought the memory stick they recomended).",[],0.5447807
despite the claims of the apple apologists (a vice of which i am recently myself reformed) the internals of mac laptops are no different from pcs' at this point.,[],0.5446194
i had the computer for a full year and it was a new computer.,[],0.5445612
"bought from wal-mart, i believe that this laptop was a repaired item.",[],0.5435872
i fell in love with the hp pavillion and that was my replacement and now i could not imagine going back to an acer at all.,[],0.54338545
i purchased it this year when my old hp laptop finally died and i was looking for something smaller and lighter than a laptop to carry around for classes and traveling.,[],0.5431483
although its windows vista compared to windows xp sucks.,[],0.54308635
in short i would never buy a compaq again.,[],0.5430128
i simply got tired of a bad computer like windows with its constant freezing and anti-virus.,[],0.542781
so if anyones looking to buy a computer or laptop you should stay far far away from any that have the name toshiba on it...,[],0.5422511
and finally i realized that mac is the best.,[],0.5421723
i paid about the same for my toshiba as i did for the compaq a few years back.,[],0.5416329
bought notebook 07/2009.,[],0.54148567
"if you really want a bang-up system and don't need to run windows applications, go with an apple;",[],0.5414438
i got a mac as my hs graduation gift.,[],0.5413416
"looking to take my video and photo editing to the next level, i decided to purchase the mbp 15in intel core i5 after reading consumer reviews as well as professional reviews of this laptop.",[],0.5410958
our apple 13.3 macbook pro notebook computer (z0j80001) notebook and has become such an integral part of completing our daily needs and social networking.,[],0.5406528
i sit down and use my husband's work pc and i don't like it one bit.,[],0.5403612
"i waited another month for approval and for them to ""build"" me a new laptop.",[],0.5403106
got the computer back a month later and it was still broken sent it out again and they repaired it.,[],0.540304
-they lost my laptop for a month,[],0.53979594
keyboard good sized and wasy to use.,[],0.53971183
it allows me to do everything i need from a computer and more.,[],0.53956395
"by the time i was finally able to get a work order to get it fixed i had been without my computer for almost a week while i was an online college student, so it was very inconvenient and i had to send it off and be without it while it was being fixed also.",[],0.5394859
the only thing i wish is the 15 inch macbook pro has much better speakers on the side of the keyboard.,[],0.5392505
save your money and go for a better device.,[],0.5382517
i love how easy every thing is to do on my apple products.,[],0.53699493
the advantages of owning 'a 'mac are numerous.,[],0.53692514
i've always used pc's for work home and this is my first experience with a mac.,[],0.5363817
this is my second mac book pro.,[],0.53598076
"bigger hd, better graphics card, and a bid hd.",[],0.53528094
it is everything that i would want in a computer.,[],0.5350664
i will stack it up against laptops that cost twice as much any day.,[],0.534988
"i mainly use it for email, internet, and managing personal files (pics, vids, etc.).",[],0.53459615
my sister is the electronics manager at wal mart and she says that hp is the best.,[],0.5345774
"i will never buy (refurbished) again, i don't cae how cheap it is.",[],0.5339196
my next laptop will also be a mac!,[],0.53324145
"called acer many times, they want me to pay the shipping to ship it to their repair center - i was very disappointed since it is a brand new computer!",[],0.53299654
i still see the benefits of a pc when i do not know how to do something on my mac.,[],0.5318776
i'll stick to tashiba.,[],0.5313258
he gave me this pc about 3 years ago and up to this point im still sitting here using it.,[],0.5305182
"it has far exceeded my expectations for power, storage, and abilitiy.",[],0.5299373
"posted nov 8, 2010 - two weeks ago i bought this notebook.",[],0.52933526
"all the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",[],0.52929246
if you have the money i suggest going for the i7.,[],0.5290492
i am now frustrated that i still have to use my work issued windows laptop!,[],0.5286956
i now own another hewlitt packard.,[],0.5285756
i also experience the same with my macbook air.,[],0.52812576
i can guarantee this will be the last dell i will ever purchase!,[],0.5276478
"other thoughts: i love newegg, i recommend them to the world however this is just unacceptable.",[],0.5271487
i called toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,[],0.52652186
"buy this if you like being tortured, teased, frustrated and wasting twice as much time as you spent using your old mac.",[],0.52588844
") i also purchased applecare for $300, which is a three year extended warranty, since i ve never seen any laptop that lasted more than two.",[],0.52583593
it has had some problems.,[],0.52555287
best buy was great as always and accepted the return and gave me another model 1764.,[],0.524126
"we carry the netbook around here and there, hence it's kinda of irritating when the lcd just ""slide"" downwards.",[],0.5233073
"in those three years, i've had a couple of minor problems and both were resolved by apple quickly and easily.",[],0.5231933
this is one of the reasons i purchased it.,[],0.52304125
i will only buy apple laptops from now on.,[],0.5229198
it was a huge monstrosity of a laptop!,[],0.52282697
problem fixed which is great but there went another two weeks without my laptop at school.,[],0.52275836
"i have had another mac, but it got slow due to an older operating system.",[],0.522101
i'll rather be out of date then spend more money on toshiba.,[],0.5217381
i just can't fathom that the celebrated dell would last a week in environment of free competition with normal products - it only survives b/c its substandard laptops are forced onto captive students and employees through question-raising programs.,[],0.521429
after about another month i had to send it in again to acer for repairs.,[],0.5213331
it turns out that this hp pc had been preciously sold by wal mart.,[],0.52062356
"in the past few years, i've had terrible experiences with hp.",[],0.5202662
i would definitely not go back to using a pc after using the mac.,[],0.5196383
i will never buy another hp computer.,[],0.5191839
"i have never had any issues or problems with my macbook pro so far, and it is still as fast as it was when i first bought it.",[],0.5189292
it has been plagued with problems since the day i turned it on.,[],0.51887274
i own other macs but always find myself navigation to the macbook pro to get my work done.,[],0.51851183
handles all my basic media needs easily.,[],0.5176112
"finally, i couldn't take it anymore and ordered my apple.",[],0.5170893
"-i give up on my data, i just want a computer reasonably fast...",[],0.51622754
the mac version of microsoft office is cheaper than buying the actual and works just as well.,[],0.51576006
"i work in film editing and post production, so i need a laptop that not only has power, but memory and speed as well.",[],0.5153553
i bought a hp pavilion dv4-1222nr laptop and have had so many problems with the computer.,[],0.5143768
"been a pc user for many, many years.",[],0.5126045
"while the computer seems to be set up in a common sense way rather than in geek-speak, there are certain quirks that can drive you crazy trying to deal with the pc world.",[],0.51197594
i got the macbook and he got a macbook pro.,[],0.51073575
i have had my new macbook pro i5 for a couple of days and have recycled all of my old pc laptops.,[],0.51069343
it's slow and one day i hope to have the money to get rid of it and buy something else.,[],0.50998056
"i have a laptop as my regular computer, but found that disconnecting it and lugging it around was a drag.",[],0.50974995
"on the twelfth day that i had the notebook, i decided to go to dell's website and update it.",[],0.50951165
didn't work when shipped from walmart.com but went into a store and exchanged for a working laptop (same make/model).,[],0.50948995
all the customers that come in hate dell.,[],0.50947803
i waited and waited and no laptop.,[],0.509321
"about 2 months ago i bought the 2011 macbook pro, which was an upgrade from my 2010 macbook pro.",[],0.5090894
i bought the netbook because it was smaller and lighter for me to carry around.,[],0.5090123
we figure that after everything his pc actually ended up costing $350 more than my original mac.,[],0.50892466
"it is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.",[],0.5088483
the latest and mightiest macbook pro 17-inch was bought by my university on the 30th of june 2009.,[],0.50851506
my macbook pro is no exception.,[],0.50769484
i bought it to use in college and it is perfect.,[],0.50769293
"after doing extensive research, macconnection had the lowest price on the 15"" mbp i5.",[],0.50749964
"well, i have to say since i bought my mac, i won't ever go back to any windows.",[],0.50747734
congratulations asus for creating one big piece of dump which is my laptop.,[],0.5072754
"my daughter uses it for games, email, facebook, pictures and music.",[],0.50702983
"4) laptop still did not work, blue screen within a week...",[],0.5067344
i bought my acer aspire custom made in june 2008.,[],0.5066025
we used pc products - it seemed simpler to continue with the same thing.,[],0.5064708
"again, i sent it off to acer, by this time they were paying for me to send it to them and everything, but it was still inconvienent because of my classes and my communication with my fiance.",[],0.50643724
seems like maybe a bad shipment from toshiba.,[],0.5059824
"never had a single problem, and don't have to worry about viruses.",[],0.5058972
"my favorite by far, although the most expensive, was my sony.",[],0.50472957
"but, buy this model and just purchase 4gb of ram (2x2gb for $92 or 1x4gb for $99), and save yourself $100 than the other model with 8gb of ram.",[],0.5043515
"taking notes, research, an online class and such and didn't want to spend too much on my first machine.",[],0.5039184
my house is now 100% macbook.,[],0.50352633
