text,aspect_term,polarity,gold_polarity
"great food at reasonable prices, makes for an evening that can't be beat!",food,positive,positive
"great food at reasonable prices, makes for an evening that can't be beat!",prices,positive,positive
this little place has a cute interior decor and affordable city prices.,interior deco,positive,positive
this little place has a cute interior decor and affordable city prices.,prices,positive,positive
two words: free wine.,wine,neutral,positive
the price is reasonable although the service is poor.,price,positive,positive
the price is reasonable although the service is poor.,service,negative,negative
"the quantity is also very good, you will come out satisfied.",quantity,positive,positive
"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,positive,neutral
"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral,neutral
the fried rice is amazing here.,fried rice,positive,positive
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive,positive
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive,positive
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,positive,positive
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive,positive
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,positive,neutral
it's a perfect place to have a amanzing indian food.,indian food,positive,positive
the place is so cool and the service is prompt and curtious.,service,positive,positive
the place is so cool and the service is prompt and curtious.,place,positive,positive
at the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,positive
i just wonder how you can have such a delicious meal for such little money.,meal,positive,positive
i just wonder how you can have such a delicious meal for such little money.,money,neutral,positive
the wine list is excellent.,wine list,positive,positive
"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).",thai food,positive,positive
they wouldnt even let me finish my glass of wine before offering another.,glass of wine,negative,neutral
"whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,negative,neutral
this is a consistently great place to dine for lunch or dinner.,lunch,positive,neutral
this is a consistently great place to dine for lunch or dinner.,dinner,positive,neutral
this is a consistently great place to dine for lunch or dinner.,dine,positive,positive
"nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive,positive
"nice atmosphere, the service was very pleasant and the desert was good.",service,positive,positive
"nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,positive
after really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,positive
after really enjoying ourselves at the bar we sat down at a table and had dinner.,table,positive,neutral
after really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,positive,neutral
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,positive
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,positive
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive,positive
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive,positive
try the lasagnette appetizer.,lasagnette appetizer,neutral,positive
i liked the beer selection!,beer selection,positive,positive
"great food, good size menu, great service and an unpretensious setting.",food,positive,positive
"great food, good size menu, great service and an unpretensious setting.",menu,positive,positive
"great food, good size menu, great service and an unpretensious setting.",service,positive,positive
"great food, good size menu, great service and an unpretensious setting.",setting,positive,positive
go here for a romantic dinner but not for an all out wow dining experience.,dinner,neutral,positive
go here for a romantic dinner but not for an all out wow dining experience.,dining,neutral,positive
i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds.,dosa,positive,neutral
wine list selection is good and wine-by-the-glass was generously filled to the top.,wine list selection,positive,positive
wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive,positive
"with the great variety on the menu , i eat here often and never get bored .",menu,positive,positive
the menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,negative
the menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,negative
the menu is limited but almost all of the dishes are excellent.,menu,negative,negative
the menu is limited but almost all of the dishes are excellent.,dishes,positive,positive
not too crazy about their sake martini.,sake martini,neutral,negative
"great bagels, spreads and a good place to hang out in.",bagels,positive,positive
"great bagels, spreads and a good place to hang out in.",spreads,positive,positive
one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.,table,positive,neutral
"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,positive
we always have a delicious meal and always leave feeling satisfied.,meal,positive,positive
"dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral,neutral
"dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral,neutral
first went here to enjoy their garden terrace.,garden terrace,positive,positive
the pizza was pretty good and huge.,pizza,positive,positive
"the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.",cuisine,neutral,neutral
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,atmosphere,positive,positive
they are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,positive
they are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative,negative
all my co-workers were amazed at how small the dish was.,dish,positive,negative
"the atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive,positive
"the atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,positive
"the atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,positive
"we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,positive,negative
"the wait staff is friendly, and the food has gotten better and better!",wait staff,positive,positive
"the wait staff is friendly, and the food has gotten better and better!",food,positive,positive
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",vibe,positive,positive
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",french food,positive,positive
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",packed,positive,negative
right off the l in brooklyn this is a nice cozy place with good pizza.,pizza,positive,positive
right off the l in brooklyn this is a nice cozy place with good pizza.,place,positive,positive
le pere pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,positive
i also ordered for delivery and the restaurant forgot half the order.,delivery,negative,negative
i also ordered for delivery and the restaurant forgot half the order.,order,negative,negative
our server checked on us maybe twice during the entire meal.,server,negative,negative
our server checked on us maybe twice during the entire meal.,meal,negative,neutral
the strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,negative
we had the lobster sandwich and it was fantastic.,lobster sandwich,positive,positive
"had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,negative
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,positive
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive,positive
deep fried skewers are good and still rare to find in nyc.,deep fried skewers,positive,positive
"i have tried to make reservations, but both times, the hostess didn't have my name.",reservations,negative,neutral
"i have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,negative
i also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,positive
i also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive,positive
their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,positive
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive,positive
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,positive,positive
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,positive
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive,positive
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,positive,positive
"if you love wine and cheese and delicious french fare, you'll love artisanal!",wine,neutral,positive
"if you love wine and cheese and delicious french fare, you'll love artisanal!",french fare,positive,positive
"if you love wine and cheese and delicious french fare, you'll love artisanal!",cheese,neutral,positive
i love indian food and consider myself to be quite an expert on it.,indian food,positive,positive
some baby pizzas get their wish.,baby pizzas,neutral,neutral
overall a oh ya even though there is waiting it is deff worth it,waiting,negative,negative
the lava cake dessert was incredible and i recommend it.,lava cake dessert,positive,positive
vt is what baby pizzas hope to be when they grow up.,baby pizzas,neutral,neutral
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative,negative
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative,negative
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,negative,negative
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food,positive,positive
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food,positive,positive
the last time i went we were seated at a table in a corridor next to the kitchen.,table,neutral,negative
good selection of wines ranging from affordable to high end.,selection of wines,positive,positive
"nice restaurant overall, with classic upscale italian decor.",italian decor,positive,positive
not impressed with the food.,food,negative,negative
the entire dining experience was wonderful!,dining experience,positive,positive
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,wine selection,positive,positive
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,reservation,positive,neutral
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive,positive
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive,positive
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative,negative
"order the panang duck, it's fantastic.",panang duck,positive,positive
"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.",raw vegatables,negative,negative
"other than the crappy service from two individuals, it's great.",service,negative,negative
they have authentic indian at amazin prices.,indian,positive,positive
they have authentic indian at amazin prices.,prices,positive,positive
ambiance- relaxed and stylish.,ambiance,positive,positive
"luckily we saved room for the bbq salmon, sea bass and crispy duck.",bbq salmon,positive,positive
"luckily we saved room for the bbq salmon, sea bass and crispy duck.",sea bass,positive,positive
"luckily we saved room for the bbq salmon, sea bass and crispy duck.",crispy duck,positive,positive
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,negative,positive
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,negative,positive
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative,negative
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,negative,neutral
and yes dal bukhara is so dam good and so are all the kababs.,kababs,positive,positive
and yes dal bukhara is so dam good and so are all the kababs.,dal bukhara,positive,positive
i look forward to eating here again,eating,positive,positive
i've been coming here as a child and always come back for the taste.,taste,positive,positive
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive,positive
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive,positive
"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,positive,positive
"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.",mussels,positive,positive
"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.",glass of leaping lizard,positive,positive
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,negative,neutral
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative,negative
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative,negative
the food always tastes fresh and served promptly.,food,positive,positive
the food always tastes fresh and served promptly.,served,positive,positive
the pizza here is delicious.,pizza,positive,positive
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",pizza,positive,positive
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",delivery,positive,positive
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",garlic knots,positive,positive
"for great chinese food nearby, you have wu liang ye and grand sichuan just a block away.",chinese food,positive,positive
but who says murray's is anything about service.,service,neutral,neutral
"this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative,negative
hats off to the chef.,chef,negative,positive
"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",service,negative,negative
"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,positive,positive
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,positive,positive
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,positive,positive
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,positive,negative
its an excellent place to relax and the food is one of the best in the city of new york.,place,positive,positive
its an excellent place to relax and the food is one of the best in the city of new york.,food,positive,positive
"service is friendly, and never had a problem walking in and getting a table.",service,positive,positive
"service is friendly, and never had a problem walking in and getting a table.",getting a table,positive,positive
the atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,positive,positive
"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,negative,negative
"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,negative,neutral
the food was bland oily.,food,negative,negative
"what is even better, is that the prices are very affordable as well, and the food is really good.",prices,positive,positive
"what is even better, is that the prices are very affordable as well, and the food is really good.",food,positive,positive
the fish is fresh but the variety of fish is nothing out of ordinary.,fish,positive,positive
the fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,negative,negative
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,positive,positive
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,positive,positive
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,positive,positive
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,positive,positive
"and kruno, the beverage manager is the best bartender i have yet to come across.",bartender,positive,positive
"and kruno, the beverage manager is the best bartender i have yet to come across.",beverage manager,positive,positive
"ambiance and music funky, which i enjoy.",ambiance,positive,positive
"ambiance and music funky, which i enjoy.",music,positive,positive
"the food, drinks and service are clearly among the best in the city.",food,positive,positive
"the food, drinks and service are clearly among the best in the city.",drinks,positive,positive
"the food, drinks and service are clearly among the best in the city.",service,positive,positive
i went there in late afternoon for some bite size food and refleshment with my date.,food,positive,neutral
i went there in late afternoon for some bite size food and refleshment with my date.,refleshment,positive,neutral
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,negative,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,negative,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,positive,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",tastes,positive,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,negative,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,negative,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,negative,positive
"last time i went here, the waitress didn't come back after taking our order.",waitress,negative,negative
try the tandoori salmon!,tandoori salmon,neutral,positive
"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,positive,positive
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,positive,negative
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive,positive
i love the atmorphere @ peep!,atmorphere,positive,positive
the service was attentive and her suggestions of menu items was right on the mark.,service,positive,positive
the service was attentive and her suggestions of menu items was right on the mark.,menu items,positive,positive
the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of.,three course meal,positive,positive
"even after getting pushed out by the no-class famous ray's, sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the outstanding pizza!",pizza,positive,positive
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment,negative,positive
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,negative,negative
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,negative,negative
"we had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,positive,positive
i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,positive,neutral
what came to our table was burned beyond recognition and stringy.,table,negative,neutral
i had the pad thai and the noodles were sticky.,pad thai,negative,negative
i had the pad thai and the noodles were sticky.,noodles,negative,negative
"so i've never actually been to m proper, but i've had it delivered a few times.",delivered,positive,neutral
"among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,positive,positive
"frankly, when you compare what you can have here for lunch, versus mcds or so many other sandwich shops in the city, there is no comparison.",lunch,neutral,positive
the hostess is rude to the point of being offensive.,hostess,negative,negative
"if you're craving for haru's great food, especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!",food,positive,positive
"if you're craving for haru's great food, especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!",wait building,negative,negative
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor,negative,negative
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",space,negative,negative
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counters,negative,negative
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counter,negative,negative
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,negative,neutral
the food is great.,food,positive,positive
succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,positive,positive
succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,positive,positive
succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,positive,positive
"lunch came with pickels and slaw, no extra charge.",lunch,positive,positive
"lunch came with pickels and slaw, no extra charge.",pickels and slaw,positive,neutral
decent wine at reasonable prices.,wine,positive,positive
decent wine at reasonable prices.,prices,positive,positive
all conveniently delivered right to the door.,delivered,positive,positive
even the wine by the glass was good.,wine by the glass,positive,positive
would have rather tried terrace in the sky or water club for that price,price,negative,negative
this dish is my favorite and i always get it when i go there and never get tired of it.,dish,positive,positive
"i also ordered the change mojito, which was out of this world.",change mojito,positive,positive
okay service.,service,positive,neutral
the only thing more wonderful than the food (which is exceptional) is the service.,food,positive,positive
the only thing more wonderful than the food (which is exceptional) is the service.,service,positive,positive
"the food was just awful, atrocious actually.",food,negative,negative
the soup for the udon was soy sauce and water.,soup for the udon,positive,negative
the soup for the udon was soy sauce and water.,soy sauce,neutral,neutral
the soup for the udon was soy sauce and water.,water,positive,neutral
"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,positive,positive
"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,positive,positive
"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",filling pasta mains,positive,positive
the waitress suggested glasses of wine that went very well with the food.,waitress,neutral,positive
the waitress suggested glasses of wine that went very well with the food.,food,positive,neutral
the waitress suggested glasses of wine that went very well with the food.,glasses of wine,positive,positive
"they might be all business at the counter when you give your order, but their food says i love you.",food,positive,positive
"they might be all business at the counter when you give your order, but their food says i love you.",counter,positive,negative
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive,positive
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),positive,positive
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",crab dumplings,positive,positive
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",assorted sashimi,positive,positive
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive,positive
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",rolls,positive,positive
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sake,positive,positive
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",banana tempura,positive,positive
try their plain pizza with fresh garlic or eggplant.,plain pizza,neutral,positive
try their plain pizza with fresh garlic or eggplant.,garlic,neutral,positive
try their plain pizza with fresh garlic or eggplant.,eggplant,neutral,positive
"ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,negative,negative
good luck getting a table.,getting a table,positive,negative
the service is awful.,service,negative,negative
"the takeout menu says to keep an eye out for an expanded menu offering more italian dishes, i can't wait!",takeout menu,neutral,positive
"the takeout menu says to keep an eye out for an expanded menu offering more italian dishes, i can't wait!",menu,positive,positive
"the takeout menu says to keep an eye out for an expanded menu offering more italian dishes, i can't wait!",italian dishes,positive,positive
"i am not the most experienced person when it comes to thai food, but my friend who took me there is.",thai food,neutral,neutral
regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes.,hostess,neutral,positive
the pizza is good though.,pizza,positive,positive
bottles of wine are cheap and good.,bottles of wine,positive,positive
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.",beers,positive,positive
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.",food,positive,positive
