text,aspect_term,polarity,gold_polarity
"it has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,positive
"it has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,positive,neutral
"it has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,positive,neutral
"it has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,positive,neutral
"it has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,positive,neutral
"acer has set me up with free recovery discs, when they are available since i asked.",recovery discs,positive,positive
"i also purchased office max's ""max assurance"" with the ""no lemon"" clause.","office max's ""max assurance""",positive,neutral
i eventually did the migration from my imac backup disc which uses usb.,imac backup disc,neutral,neutral
i eventually did the migration from my imac backup disc which uses usb.,usb,neutral,neutral
"the battery life seems to be very good, and have had no issues with it.",battery life,positive,positive
enabling the battery timer is useless.,battery timer,negative,negative
temperatures on the outside were alright but i did not track in core processing unit temperatures.,temperatures,negative,neutral
temperatures on the outside were alright but i did not track in core processing unit temperatures.,core processing unit temperatures,negative,neutral
going to bring it to service today.,service,positive,neutral
"there is no need to purchase virus protection for mac, which saves me a lot of time and money.",virus protection for mac,positive,positive
"but we had paid for bluetooth, and there was none.",bluetooth,neutral,negative
"so, i paid a visit to lg notebook service center at alexandra road, hoping they can make the hinge tighter.",lg notebook service center,neutral,neutral
"so, i paid a visit to lg notebook service center at alexandra road, hoping they can make the hinge tighter.",hinge,negative,negative
"my daughter uses it for games, email, facebook, pictures and music.",games,neutral,neutral
"it is always reliable, never bugged and responds well.",responds,positive,positive
after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,negative
after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,neutral
"it was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,negative
they had to replace the motherboard in april,motherboard,negative,negative
"yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,positive
"also, if you need to talk to a representive at microsoft, there is a charge, which i believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with xp if they could.",representive at microsoft,negative,negative
"also, if you need to talk to a representive at microsoft, there is a charge, which i believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with xp if they could.",system,negative,negative
"also, if you need to talk to a representive at microsoft, there is a charge, which i believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with xp if they could.",xp,neutral,positive
i love windows 7 which is a vast improvment over vista.,windows 7,positive,positive
i love windows 7 which is a vast improvment over vista.,vista,neutral,negative
"keyboard is great, very quiet for all the typing that i do.",keyboard,positive,positive
dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,dell's customer disservice,negative,negative
"it had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,negative
"it had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,negative,neutral
"i can render avchd movies with little effort, which was a problem for most pc's unless you had a quad core i7.",quad core i7,positive,positive
"after talking it over with the very knowledgeable sales associate, i chose the macbook pro over the white macbook.",sales associate,positive,positive
"if you really want a bang-up system and don't need to run windows applications, go with an apple;",system,neutral,positive
"if you really want a bang-up system and don't need to run windows applications, go with an apple;",windows applications,neutral,neutral
you won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,negative
it weighed like seven pounds or something like that.,weighed,negative,neutral
it weighed like seven pounds or something like that.,seven pounds,neutral,neutral
"2 months later, the battery went.",battery,negative,negative
you may need to special order a bag.,bag,neutral,neutral
it's color is even cool.,color,positive,positive
keys are all in weird places and is way too large for the way it is designed.,keys,negative,negative
keys are all in weird places and is way too large for the way it is designed.,designed,negative,negative
"yes, a mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,positive
"yes, a mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,positive
the keyboard feels good and i type just fine on it.,keyboard,positive,positive
i thought the white mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,negative,neutral
"and not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,negative
"best buy - 5 stars + + + (sales, service, respect for old men who aren't familiar with the technology) dell computers - 3 stars dell support - owes a me a couple",sales,positive,positive
"best buy - 5 stars + + + (sales, service, respect for old men who aren't familiar with the technology) dell computers - 3 stars dell support - owes a me a couple",service,positive,positive
"best buy - 5 stars + + + (sales, service, respect for old men who aren't familiar with the technology) dell computers - 3 stars dell support - owes a me a couple",dell support,neutral,positive
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,positive,neutral
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,negative,neutral
"yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,positive
"yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,positive,positive
"yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,positive
"since i keyboard over 100 wpm, i look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,positive
"since i keyboard over 100 wpm, i look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive,positive
"since i keyboard over 100 wpm, i look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",negative,positive
) i also tried the touch pad and compared it to other netbooks in the store.,touch pad,negative,neutral
"it absolutely is more expensive than most pc laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,positive
"it absolutely is more expensive than most pc laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,positive
"  it gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,negative
"  it gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,negative
lots of preloaded software.,preloaded software,positive,positive
"i wish it had a webcam though, then it would be perfect!",webcam,negative,negative
my favorite part of this computer is that it has a vga port so i can connect it to a bigger screen.,vga port,positive,positive
my favorite part of this computer is that it has a vga port so i can connect it to a bigger screen.,screen,positive,neutral
another thing i might add is the battery life is excellent.,battery life,positive,positive
"one drawback, i wish the keys were backlit.",keys,negative,negative
"acer was no help and garmin could not determine the problem(after spending about 2 hours with me), so i returned it and purchased a toshiba r700 that seems even nicer and i was able to load all of my software with no problem.",software,positive,positive
i wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,negative
i wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative,negative
"i play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,positive
"granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my mac boots up noticeably quicker.",boots up,positive,positive
it caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,negative
"it is everything i'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,positive
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozzilla firfox i love every single bit about it.,safari,neutral,negative
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozzilla firfox i love every single bit about it.,safari,neutral,negative
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozzilla firfox i love every single bit about it.,mozzilla firfox,positive,positive
"the bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",bluetooth,negative,negative
"the bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,positive,negative
"the bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative,negative
"great battery, speed, display.",battery,positive,positive
"great battery, speed, display.",speed,positive,positive
"great battery, speed, display.",display,positive,positive
"the delivery was fast, and i would not hesitate to purchase this laptop again.",delivery,positive,positive
i've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive,positive
i've been impressed with the battery life and the performance for such a small amount of memory.,performance,positive,positive
i've been impressed with the battery life and the performance for such a small amount of memory.,memory,positive,negative
"it's applications are terrific, including the replacements for microsoft office.",applications,positive,positive
"it's applications are terrific, including the replacements for microsoft office.",microsoft office,neutral,positive
"they improved nothing else such as resolution, appearance, cooling system, graphics card, etc.",resolution,positive,negative
"they improved nothing else such as resolution, appearance, cooling system, graphics card, etc.",appearance,positive,negative
"they improved nothing else such as resolution, appearance, cooling system, graphics card, etc.",cooling system,positive,negative
"they improved nothing else such as resolution, appearance, cooling system, graphics card, etc.",graphics card,positive,negative
"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid, (mind you this was my means of communication with my fiance who was deployed) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,negative,negative
"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid, (mind you this was my means of communication with my fiance who was deployed) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,negative,negative
"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid, (mind you this was my means of communication with my fiance who was deployed) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,negative,negative
"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid, (mind you this was my means of communication with my fiance who was deployed) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,negative,negative
is this partially due to the fact that it is running windows vista?,windows vista,neutral,neutral
  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,negative,negative
  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,negative,negative
  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,negative
  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,negative,negative
  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,negative
"my dad has one of the very first toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,positive,positive
"my dad has one of the very first toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,positive,positive
mostly i love the drag and drop feature.,drag and drop feature,positive,positive
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,negative,negative
"i ordered through macmall, which saved me the sales tax i would have incurred buying locally.",sales tax,positive,positive
"of course, i also have several great software packages that came for free including iwork, garageband, and imovie.",software packages,positive,positive
"of course, i also have several great software packages that came for free including iwork, garageband, and imovie.",iwork,neutral,positive
"of course, i also have several great software packages that came for free including iwork, garageband, and imovie.",garageband,positive,positive
"of course, i also have several great software packages that came for free including iwork, garageband, and imovie.",imovie,neutral,positive
the screen is very large and crystal clear with amazing colors and resolution.,screen,positive,positive
the screen is very large and crystal clear with amazing colors and resolution.,colors,positive,positive
the screen is very large and crystal clear with amazing colors and resolution.,resolution,positive,positive
"after a little more than a year of owning my macbook pro, the monitor has completely died.",monitor,negative,negative
"the brand of itunes has just become ingrained in our lexicon now, but keep in mind that apple started it all.",itunes,neutral,positive
"size: i know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",size,negative,negative
"size: i know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",external monitor,negative,neutral
additional caveat: the base installation comes with some toshiba-specific software that may or may not be to a user's liking.,base installation,neutral,negative
additional caveat: the base installation comes with some toshiba-specific software that may or may not be to a user's liking.,software,neutral,negative
  taking it back to best buy i found that a tiny plastic piece inside had broken (manuf issue).,manuf,negative,negative
"the display is incredibly bright, much brighter than my powerbook and very crisp.",display,positive,positive
the amd turin processor seems to always perform so much better than intel.,amd turin processor,positive,positive
the amd turin processor seems to always perform so much better than intel.,intel,negative,negative
  after that the said it was under warranty.,warranty,negative,neutral
the start menu is not the easiest thing to navigate due to the stacking.,start menu,negative,negative
the start menu is not the easiest thing to navigate due to the stacking.,navigate,negative,negative
only thing i would want to add to this is an internal bluray read/write drive.,bluray read/write drive,positive,negative
the service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,negative,negative
"the tech store i purchased this from sent it back,,,,,eventually i got a new or repaired machine approximately 3 weeks later.",tech store,negative,negative
really like the textured surface which shows no fingerprints.,surface,positive,positive
the screen is bright and the keyboard is nice;,screen,positive,positive
the screen is bright and the keyboard is nice;,keyboard,positive,positive
but the machine is awesome and ilife is great and i love snow leopard x.,ilife,positive,positive
but the machine is awesome and ilife is great and i love snow leopard x.,snow leopard x,positive,positive
"high price tag, however.",price tag,negative,negative
"i thought learning the mac os would be hard, but it is easily picked up if you are familiar with a pc.",mac os,neutral,positive
"i had static in the output, and i had to reduce the sound output quality to ""fm"" as opposed to the default ""cd.",sound output quality,negative,negative
i custom ordered the machine from hp and could not understand the techie due to his accent.,techie,negative,negative
it is easy to use and lightweight.,use,positive,positive
i went to toshiba online help and found some suggestions to fix it.,toshiba online help,neutral,positive
they also have a longer service life than other computers (i have several friends who still use the older apple powerbooks).,service life,positive,positive
if you check you will find the same notebook with the above missing ports and a dual core amd or intel processor.,ports,negative,neutral
if you check you will find the same notebook with the above missing ports and a dual core amd or intel processor.,processor,positive,neutral
this laptop is a great price and has a sleek look.,price,positive,positive
this laptop is a great price and has a sleek look.,look,positive,positive
i especially like the keyboard which has chiclet type keys.,keyboard,positive,positive
i especially like the keyboard which has chiclet type keys.,keys,positive,positive
runs hot  i thought we were paying for quality in our decision to buy an apple product.,quality,negative,negative
"for the not so good, i got the stock screen - which is very glossy.",stock screen,positive,negative
the gray color was a good choice.,gray color,positive,positive
i would like to have volume buttons rather than the adjustment that is on the front.,volume buttons,positive,negative
the processor a amd semprom at 2.1 ghz is a bummer it does not have the power for hd or heavy computing.,processor,negative,negative
the processor a amd semprom at 2.1 ghz is a bummer it does not have the power for hd or heavy computing.,computing,neutral,negative
i bought a protector for my key pad and it works great :),protector,positive,neutral
i bought a protector for my key pad and it works great :),key pad,positive,positive
the magnetic plug-in power charging power cord is great (i even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,positive,positive
it seems they could have updated xp and done without creating vista.,xp,neutral,positive
it seems they could have updated xp and done without creating vista.,vista,neutral,negative
"  it is easy to use, fast and has great graphics for the money.",graphics,positive,positive
"  it is easy to use, fast and has great graphics for the money.",use,positive,positive
i like how the mac os is so simple and easy to use.,mac os,positive,positive
i like how the mac os is so simple and easy to use.,use,positive,positive
"while apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,positive,positive
"i was ready to take it back for a refund, but the geek squad camed through and pointed me in the right direction to get it fixed.",geek squad,positive,positive
only good thing is the graphics quality.,graphics quality,positive,positive
"the other lock-up problems are from a myriad of causes, the most common being a corrupted version of appleworks which can render the browser useless.",appleworks,negative,negative
"the other lock-up problems are from a myriad of causes, the most common being a corrupted version of appleworks which can render the browser useless.",browser,negative,negative
the paint wears off easily due to the keyboard being farther back than usual.,paint,negative,negative
the paint wears off easily due to the keyboard being farther back than usual.,keyboard,negative,negative
i had purchased it from a major electronics store and took it to their service department to find out what the problem was.,service department,positive,neutral
the store honored their warrenty and made the comment that they don't even recommend the hp brand because of the problems with their warrentys.,warrenty,negative,positive
the store honored their warrenty and made the comment that they don't even recommend the hp brand because of the problems with their warrentys.,warrentys,negative,negative
i always use a backup hard disk to store important files at all times.,hard disk,positive,neutral
"they sent out the box right away for me to send in my computer, they paid postage and whatnot, but when i got my computer back it still wasn't running right, and now my cd drive wasn't reading anything!",cd drive,negative,negative
"they sent out the box right away for me to send in my computer, they paid postage and whatnot, but when i got my computer back it still wasn't running right, and now my cd drive wasn't reading anything!",running,negative,negative
but the screen size is not that bad for email and web browsing.,screen size,positive,positive
but the screen size is not that bad for email and web browsing.,web browsing,neutral,neutral
once i removed all the software the laptop loads in 15-20 seconds.,software,negative,negative
once i removed all the software the laptop loads in 15-20 seconds.,loads,positive,neutral
on my powerbook g4 i would never use the trackpad i would use an external mouse because i didn't like the trackpad.,trackpad,negative,negative
on my powerbook g4 i would never use the trackpad i would use an external mouse because i didn't like the trackpad.,external mouse,negative,neutral
on my powerbook g4 i would never use the trackpad i would use an external mouse because i didn't like the trackpad.,trackpad,negative,negative
this computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,games,negative,negative
"obviously one of the most important features of any computer is the ""human interface.",features,positive,neutral
"obviously one of the most important features of any computer is the ""human interface.",human interface,positive,neutral
"yeah, of course smarty pants ""fix it now"")software - compared to the early 2011 edition i did see inbuilt applications crashing and it prompted me to send the report to apple (which i promptly did).",inbuilt applications,negative,negative
"yeah, of course smarty pants ""fix it now"")software - compared to the early 2011 edition i did see inbuilt applications crashing and it prompted me to send the report to apple (which i promptly did).",software,negative,negative
the body is a bit cheaply made so it will be interesting to see how long it holds up.,body,negative,negative
the i5 blows my desktop out of the water when it comes to rendering videos.,i5,neutral,negative
"with a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",antivirus software,positive,neutral
"with a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",firewall,positive,neutral
"am very glad i bought it, great netbook, low price.",price,positive,positive
