text,predictions
i love the operating system and the preloaded software.,"[('preloaded software', None), ('operating system', None)]"
"they were great in handling this problem, and i'm looking forward in purchasing additonal products from them in the future.","[('new', None), ('products', None)]"
i've tried going back to xl but there still problems.,"[('xl', None), ('problems', None)]"
the best thing about this laptop is the price along with some of the newer features.,"[('newer features', None), ('price', None)]"
"after numerous attempts of trying (including setting the clock in bios setup directly), i gave up(i am a techie).","[('clock', None), ('bios', None)]"
you will not be able to talk to an american warranty service is out of country.,"[('service', None), ('warranty', None)]"
but it may be potentially hundreds or thousands in the near future.,"[('future', None)]"
has met or exceeded my needs for a compact travel device.,"[('device', None), ('travel', None)]"
but now i have realized its a problem with this brand.,"[('brand', None), ('name', None)]"
it cannot save the correct date and time i set.,"[('date', None), ('time', None)]"
i sent it back to toshiba twice they covered it under the warranty.,"[('warranty', None), ('toshiba', None)]"
and this isn't just my one experine.,"[('experine', None), ('food', None)]"
they sent me a replacement part and without informing me are requiring that i return it within 15 days or contact them and let them know the broken part will be returned later.,"[('replacement part', None), ('call', None)]"
i was looking for a mac which is portable and has all the features that i was looking for.,"[('mac', None), ('features', None)]"
i would highly recommend this one to my friends,"[('i', None), ('one', None)]"
"i honestly love my mac, thats why i am a self proclaimed mac addict.","[('mac', None), ('mac', None)]"
and these are some reasons you should get a macbook pro.,"[('macbook', None), ('reasons', None)]"
also kinda loud when the fan was running.,"[('fan', None), ('running', None)]"
"in desparation, i called their customer service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","[('service', None), ('technician', None), ('credit card', None)]"
i purchased this laptop while on a business trip to keep up with my email.,"[('business', None), ('email', None)]"
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,"[('disc', None), ('windows', None)]"
drivers updated ok but the bios update froze the system up and the computer shut down.,"[('drivers', None), ('bios', None)]"
-they lost my laptop for a month,[]
spent 2 hours on phone with hp technical support.,"[('hp', None), ('phone', None)]"
"this is my second laptop,and it is head and shoulders above my first.","[('laptop', None), ('head', None)]"
at first!,[]
"speaking of the browser, it too has problems.","[('browser', None), ('problems', None)]"
i think just going from pc to mac has gotten me totally spoiled and i can't imagine ever going back.,"[('pc', None), ('mac', None)]"
the keyboard is too slick.,"[('keyboard', None), ('slick', None)]"
nightly my computer defrags itself and runs a virus scan.,"[('virus', None), ('computer', None)]"
"it's like 9 punds, but if you can look past it, it's great!","[('punds', None), ('punds', None)]"
it's just as fast with one program open as it is with sixteen open.,"[('one', None), ('open', None)]"
"still under warrenty so called toshiba, no help at all.","[('toshiba', None), ('help', None)]"
i was happy with my purchase of a toshiba satellite l305d-s5934 laptop until it came time to have it repaired under the toshiba warranty.,"[('toshiba', None), ('laptop', None)]"
i love it!,"[('i like', None)]"
amazing quality!,"[('quality', None), ('food', None)]"
the fact that you can spend over $100 on just a webcam underscores the value of this machine.,"[('machine', None), ('value', None)]"
"i mainly use it for email, internet, and managing personal files (pics, vids, etc.).","[('vids', None), ('file', None)]"
"a month or so ago, the freaking motherboard just died.","[('motherboard', None), ('a', None)]"
"the system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.","[('system', None), ('fix', None)]"
then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running.,"[('charger', None), ('hardware', None)]"
i took it back to best buy where they were so helpful and immediately gave me a new one.,"[('new one', None), ('a', None)]"
"if you had pc for four years i can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.","[('pc', None), ('computer', None)]"
"*2 weeks after giving the computer for repair*-called headquarters, they report that they have not looked at it yet but it is ""on the top of the stack"".","[('headquarters', None), ('stack', None)]"
this machine delivers.,"[('machine', None), ('delivery', None)]"
then 2 of my nephews were going into music and both fell in love with the macbook pro.,"[('macbook pro', None), ('music', None)]"
i complain again...,"[('i', None), ('a', None)]"
this laptop is insane!!!,"[('laptop', None), ('insane', None)]"
"if a website ever freezes (which is rare), its really easy to force quit.","[('website', None), ('freeze', None)]"
it does run a little warm but that is a negligible concern.,"[('concern', None), ('oil', None)]"
it rarely works and when it does it's incredibly slow.,[]
i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program.,"[('vmware', None), ('macbook', None)]"
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!","[('file', None), ('operating system', None)]"
purchased a toshiba lap top it worked good until just after the warrenty went out.,"[('toshiba lap top', None), ('warrenty', None)]"
i always swore by pcs and would never consider a mac.,"[('pcs', None), ('mac', None)]"
"what an elegant, wonderful machine.","[('machine', None)]"
this is now my 3rd macbook pro and i really honestly love it!,"[('macbook', None)]"
for 2 months.,[]
"i wanted to purchase the extended warranty and they refused, because they knew it was trouble.","[('extended warranty', None), ('person', None)]"
do you ever think hp would do that? never!,"[('hp', None), ('neo', None)]"
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,"[('performance', None), ('memory', None)]"
it's not like i have used for half a year and then complained about it.,"[('a', None), ('b', None)]"
still trying to learn how to use it.,[]
"the reality was, it heated up very quickly, and took way too long to do simple things, like opening my documents folder.","[('reality', None), ('documents', None)]"
i bought the netbook because it was smaller and lighter for me to carry around.,"[('netbook', None)]"
the genius at the apple store advised me that there was nothing about my use of the computer that caused this failure.,"[('apple', None), ('computer', None)]"
we'll save our money to replace it with a mac again!,"[('money', None), ('mac', None)]"
thank you for your great product!,"[('product', None), ('wait', None)]"
"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...","[('products', None), ('company', None)]"
i had always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,"[('pcs', None), ('operating systems', None)]"
"sorry toshiba, but 1st impressions do count for something.","[('impressions', None), ('toshiba', None)]"
"then, within 5 months, the charger crapped out on me.","[('charger', None), ('me', None)]"
and if you have a iphone or ipod touch you can connect and download songs to it at high speed.,"[('speed', None), ('ipod touch', None)]"
overall this laptop is great.,"[('laptop', None)]"
i love the glass touchpad.,"[('glass touchpad', None), ('person', None)]"
i continued to take the computer in again and they replaced the hard drive and mother board yet again.,"[('mother board', None), ('hard drive', None)]"
i am using the external speaker- sound is good.,"[('speaker', None), ('sound', None)]"
the apple mc371ll/a 2.4ghz 15.4-inch macbook pro notebook is a horrible waste of money.,"[('apple mc371ll/a', None), ('money', None)]"
"ok, this is probably the best laptop series ever devised by apple.","[('apple', None), ('laptop', None)]"
"as of a couple weeks ago the middle portion of the laptop from top to bottom,,,about 4 inches across is hardly visible.","[('portion', None), ('laptop', None)]"
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.","[('battery', None), ('upgrade', None)]"
"then hp sends it back to me with the hardware screwed up, not able to connect.","[('hardware', None), ('hp', None)]"
i just hope the reputation that toshiba has is true and i won't have to worry about a crash.,"[('toshiba', None), ('reputation', None)]"
"oh yeah, don't forget the expensive shipping to and from hp.","[('shipping', None), ('hp', None)]"
i would recommend anyone to buy from pcconnection express.,"[('express', None), ('pcconnection', None)]"
good luck.,"[('luck', None)]"
"everything is so easy to use, mac software is just so much simpler than microsoft software.","[('mac', None), ('microsoft software', None)]"
"my favorite by far, although the most expensive, was my sony.","[('sony', None), ('price', None)]"
"and if you do a lot of writing, editing is a problem since there is no forward delete key.","[('key', None), ('editing', None)]"
also i typed faster then then letters would show and it got to be realy annoying.,"[('letters', None), ('i', None)]"
as an owner of a toshiba satalite laptop computer things you should know before you buy.,"[('toshiba satalite laptop computer', None), ('owner', None)]"
its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"[('bar', None), ('service', None)]"
"it has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","[('computer', None), ('word', None)]"
"i shipped out on saturday, july 17.","[('july 17', None), ('i shipped', None)]"
i bought it for really cheap also and it's amazing.,"[('i', None), ('price', None)]"
"acer has set me up with free recovery discs, when they are available since i asked.","[('discs', None), ('acer', None)]"
"i also purchased office max's ""max assurance"" with the ""no lemon"" clause.","[('clause', None), ('max assurance', None)]"
if you find yourself in the market for a new laptop (and have the money) don't exclude looking at the mbps.,"[('mbps', None), ('new laptop', None)]"
i eventually did the migration from my imac backup disc which uses usb.,"[('migration', None), ('usb', None)]"
those things are very important - vital even!,[]
"-they say it will take ""up to two weeks"".","[('wait', None), ('food', None)]"
i didn't like one thing about it.,"[('i', None), ('a', None)]"
"the battery life seems to be very good, and have had no issues with it.","[('battery', None), ('battery', None)]"
enabling the battery timer is useless.,"[('battery timer', None), ('enabling', None)]"
temperatures on the outside were alright but i did not track in core processing unit temperatures.,"[('processing unit temperatures', None), ('outside', None)]"
"yeah, to you.",[]
i got a mac as my hs graduation gift.,"[('mac', None), ('graduation', None)]"
i have now had it for 1.5 months and love it.,"[('i', None), ('place', None)]"
it turned out it's not really a problem to have a mac.,"[('mac', None), ('problem', None)]"
page just disapeared after you got yahoo or downloaded something.,"[('page', None), ('yahoo', None)]"
images can be multi-selected and viewed swiftly or in slideshow mode.,"[('images', None), ('slideshow', None)]"
going to bring it to service today.,"[('service', None), ('item', None)]"
"there is no need to purchase virus protection for mac, which saves me a lot of time and money.","[('virus', None), ('time', None)]"
"but we had paid for bluetooth, and there was none.","[('bluetooth', None), ('price', None)]"
"so, i paid a visit to lg notebook service center at alexandra road, hoping they can make the hinge tighter.","[('service', None), ('notebook', None)]"
"my daughter uses it for games, email, facebook, pictures and music.","[('music', None), ('emails', None), ('music', None)]"
laptop is to be used like a netbook.,"[('netbook', None), ('laptop', None)]"
"it is always reliable, never bugged and responds well.",[]
after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,"[('new motherboard', None), ('motherboard', None)]"
"trying to balance all of my roles leaves very little time for me to do anything, so i want to manage my time i do have to be the most efficient.","[('time', None), ('roles', None)]"
"it was slow, locked up, and also had hardware replaced after only 2 months!","[('hardware', None), ('time', None)]"
they had to replace the motherboard in april,"[('april', None), ('motherboard', None)]"
"yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.","[('computer', None), ('laptop', None)]"
"also, if you need to talk to a representive at microsoft, there is a charge, which i believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with xp if they could.","[('xp', None), ('bill', None)]"
there is a little indent to help open it - but good luck with that.,"[('indent', None), ('open', None)]"
i love windows 7 which is a vast improvment over vista.,"[('windows 7', None), ('vista', None)]"
"also, i have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.","[('alot', None), ('sitting', None)]"
it was a great deal after all.,"[('a', None), ('b', None), ('c', None)]"
this mac is great!,"[('mac', None)]"
"keyboard is great, very quiet for all the typing that i do.","[('keyboard', None), ('typing', None)]"
i grew up in a design family so it only made sense.,"[('family', None), ('design', None)]"
gave phonenumber.,"[('phonenumber', None)]"
it would take up too much time to do reaearch for my papers and i would be up hours-just because the computer was too slow.,"[('papers', None), ('computer', None)]"
oh my goodness-i am not a happy camper.,"[('camper', None), ('camper', None)]"
dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,"[('service', None), ('dell', None)]"
i'd recommend this laptop to anyone!,"[('laptop', None), ('person', None)]"
"yet, hp won't do anything about the problem.","[('hp', None), ('problem', None)]"
i'm returning mine,"[(""i'm returning mine"", None)]"
"it had a cooling system malfunction after 10 minutes of general use, and would not move past this error.","[('cooling system', None), ('general', None)]"
"i can render avchd movies with little effort, which was a problem for most pc's unless you had a quad core i7.","[('avchd', None), ('movies', None)]"
it's a bummer and one out of five is being kind.,"[('a', None), ('kind', None)]"
"this is what they told me: it heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables.","[('laptops', None), ('portables', None)]"
"after talking it over with the very knowledgeable sales associate, i chose the macbook pro over the white macbook.","[('sales', None), ('white macbook', None)]"
"if you really want a bang-up system and don't need to run windows applications, go with an apple;","[('apple', None), ('system', None)]"
you won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,"[('virus', None), ('wallet', None)]"
this laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,"[('tutorials', None), ('laptop', None)]"
one of them seems to have worked.,[]
which i still use and have hooked up to my tv.,"[('tv', None), ('tv', None)]"
the problem i had with this unit was unresolvable.,"[('unit', None), ('solution', None)]"
it weighed like seven pounds or something like that.,"[('weighed', None), ('seven', None)]"
"2 months later, the battery went.","[('battery', None)]"
you may need to special order a bag.,"[('bag', None), ('special order', None)]"
it's color is even cool.,"[('color', None), ('beer', None)]"
and it has blue screen crashed on me twice.,"[('screen', None), ('blue', None)]"
another two weeks later and it was back in my possession.,"[('possession', None), ('two', None)]"
keys are all in weird places and is way too large for the way it is designed.,"[('keys', None), ('places', None)]"
"i've owned every ""pro"" model apple laptop for the last 8 years, this is by far the worst one i've ever had.","[('apple laptop', None), ('model', None)]"
we purchase the dell xps several years ago for my home business.,"[('dell xps', None), ('business', None)]"
"have purchased many products over the years from macconnection and this transaction, like all the others, we smoothly with no problems.","[('macconnection', None), ('products', None)]"
i would recommend anyone to buy from pcconnection express.,"[('express', None), ('pcconnection', None)]"
"yes, a mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.","[('style', None), ('mac', None), ('laptop', None)]"
he gave me this pc about 3 years ago and up to this point im still sitting here using it.,"[('pc', None)]"
i'm pleased.,"[(""i'm pleased"", None)]"
the keyboard feels good and i type just fine on it.,"[('keyboard', None), ('sys', None)]"
"with a healthy pessimism, i took the machine home and tried to find a flaw.","[('machine', None), ('flaw', None)]"
shiny this laptop is the best of the best!,"[('laptop', None), ('best', None)]"
i thought the white mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,"[('white mac computers', None), ('mousepad', None)]"
"and not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.","[('charge', None), ('battery', None)]"
"don't waste their money, save it and but a mac.","[('money', None), ('mac', None)]"
money and time well spent!,"[('time', None), ('money', None)]"
gradually the freezing screen evolved into a screen that froze in weird shapes.,"[('shapes', None), ('freezing screen', None)]"
"best buy - 5 stars + + + (sales, service, respect for old men who aren't familiar with the technology) dell computers - 3 stars dell support - owes a me a couple","[('service', None), ('dell computers', None)]"
good laptop for the money.,"[('money', None), ('laptop', None)]"
i like the laptop overall.,"[('laptop', None), ('overall', None)]"
i now travel with this laptop and my work pc.,"[('pc', None), ('laptop', None)]"
i am however pleased that it is still hanging in there.,"[('i', None), ('place', None)]"
both my husband and i have this model toshiba.,"[('toshiba', None), ('model', None)]"
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.","[('hard drive', None), ('motherboard', None)]"
"yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.","[('cost', None), ('quality', None), ('longevity', None)]"
"since i keyboard over 100 wpm, i look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","[('wpm', None), ('configuration', None), ('extra key', None)]"
) i also tried the touch pad and compared it to other netbooks in the store.,"[('touch pad', None), ('store', None)]"
"it absolutely is more expensive than most pc laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.","[('pricetag', None), ('ease of use', None), ('security', None)]"
"it gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.","[('tap', None), ('time', None)]"
lots of preloaded software.,"[('preloaded software', None)]"
"sony, acer, dell, packard bell and toshiba.","[('toshiba', None), ('acer', None), ('dell', None)]"
"and then, a guy came out to serve me instead.","[('guy', None), ('serve', None)]"
breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,"[('part', None), ('sale', None)]"
have returned that laptop unused.,"[('unused', None), ('laptop', None)]"
will probably never buy a hp again.,"[('hp', None), ('a', None)]"
i got tired of buying laptops and having them stop working after a year.,"[('laptops', None), ('year', None)]"
i should have been more observant.,"[('observant', None), ('food', None)]"
"i wish it had a webcam though, then it would be perfect!","[('webcam', None), ('a', None)]"
my favorite part of this computer is that it has a vga port so i can connect it to a bigger screen.,"[('vga port', None), ('screen', None)]"
another thing i might add is the battery life is excellent.,"[('battery', None), ('battery', None)]"
"one drawback, i wish the keys were backlit.","[('keys', None), ('backlit', None)]"
"when the buyer returned it wal mart just boxed it, taped it shut resold it as new.","[('box', None), ('buyer', None)]"
what a great little laptop.,"[('laptop', None)]"
"acer was no help and garmin could not determine the problem(after spending about 2 hours with me), so i returned it and purchased a toshiba r700 that seems even nicer and i was able to load all of my software with no problem.","[('toshiba r700', None), ('acer', None)]"
i wish the volume could be louder and the mouse didnt break after only a month.,"[('mouse', None), ('volume', None)]"
"i play a lot of casual games online, and the touchpad is very responsive.","[('touchpad', None), ('casual games', None)]"
"granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my mac boots up noticeably quicker.","[('new laptop', None), ('mac', None)]"
it caught a virus that completely wiped out my hard drive in a matter of hours.,"[('virus', None), ('drive', None)]"
would pay more for it if i had too!,"[('money', None)]"
couldn't keep a page up you were working on!,"[('page', None), ('working', None)]"
"it is everything i'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.","[('feel', None), ('home', None)]"
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozzilla firfox i love every single bit about it.,"[('apple', None), ('safari', None)]"
"the bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.","[('fingerprint reader', None), ('software', None)]"
"great battery, speed, display.","[('display', None), ('battery', None)]"
i would not recommend this product to anyone.,"[('product', None), ('person', None)]"
i like to use it at the race track to handiecap the horse races.,"[('horse races', None), ('race track', None)]"
i was given a mac as a birthday present and couldn't be happier with it 3 years later.,"[('mac', None), ('birthday', None)]"
"the delivery was fast, and i would not hesitate to purchase this laptop again.","[('delivery', None), ('laptop', None)]"
i've been impressed with the battery life and the performance for such a small amount of memory.,"[('performance', None), ('memory', None)]"
do a quick search on the internet see if im the only one.,[]
i'm extremely happy with my purchase as i now have the portable power i have been looking for.,"[('portable power', None), ('purchase', None)]"
"it's applications are terrific, including the replacements for microsoft office.","[('replacements', None), ('microsoft office', None)]"
"they improved nothing else such as resolution, appearance, cooling system, graphics card, etc.","[('cooling system', None), ('resolution', None), ('graphics card', None)]"
"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid, (mind you this was my means of communication with my fiance who was deployed) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.","[('lid', None), ('webcam', None)]"
is this partially due to the fact that it is running windows vista?,"[('windows vista', None), ('running', None)]"
"you might think, i am new in this game, but i am a gadget lover, and have had more than 2 dozens laptops in the past 15 years, and none gets this hot, that fast.","[('dozens', None), ('gadget', None)]"
i was informed that i need to call some 0900 number first.,"[('num', None), ('call', None)]"
i really wanted a mac over a pc because i used a mac in high school.,"[('pc', None), ('mac', None)]"
"1) payed $2200 for a ""premium"" laptop","[('premium', None), ('laptop', None)]"
i bought them for my college age grandchildren and these macs are totally reliable and support their class work 100% of the time.,"[('macs', None), ('time', None)]"
the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,"[('board', None), ('connector', None)]"
do not purchase this laptop.,"[('laptop', None), ('price', None)]"
"my dad has one of the very first toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!","[('toshibas', None), ('ethernet', None)]"
mostly i love the drag and drop feature.,"[('feature', None), ('drag', None)]"
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?","[('fancy webcam', None), ('fix', None)]"
"she brought out 2 other identical netbooks and still insist that ""it is like that one"".","[('netbooks', None), ('her', None)]"
"i ordered through macmall, which saved me the sales tax i would have incurred buying locally.","[('sales tax', None), ('macmall', None)]"
very fast and efficient!,[]
"of course, i also have several great software packages that came for free including iwork, garageband, and imovie.","[('iwork', None), ('software', None)]"
being virus-resistant is a huge plus.,"[('virus-resistant', None), ('plus', None)]"
the screen is very large and crystal clear with amazing colors and resolution.,"[('screen', None), ('resolution', None)]"
"after a little more than a year of owning my macbook pro, the monitor has completely died.","[('macbook', None), ('monitor', None)]"
"in my house, hp is a nasty word.","[('hp', None), ('word', None)]"
"the brand of itunes has just become ingrained in our lexicon now, but keep in mind that apple started it all.","[('apple', None), ('brand', None)]"
"by the way teachers, they offer a discount which helps!","[('teachers', None), ('discount', None)]"
now he mows yards so he can earn the money for the wireless internet.,"[('money', None), ('internet', None)]"
i still see the benefits of a pc when i do not know how to do something on my mac.,"[('pc', None), ('mac', None)]"
"size: i know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.","[('replacement', None), ('monitor', None)]"
additional caveat: the base installation comes with some toshiba-specific software that may or may not be to a user's liking.,"[('toshiba-specific software', None), ('base', None)]"
it is held in place magnetically.,"[('place', None), ('magnetic', None)]"
taking it back to best buy i found that a tiny plastic piece inside had broken (manuf issue).,"[('plastic', None), ('item', None)]"
"it has no camera but, i can always buy and install one easy.","[('camera', None), ('install', None)]"
"the display is incredibly bright, much brighter than my powerbook and very crisp.","[('display', None), ('powerbook', None)]"
we were pc users.,"[('pc', None), ('us', None)]"
the amd turin processor seems to always perform so much better than intel.,"[('amd turin processor', None), ('intel', None)]"
after that the said it was under warranty.,"[('warranty', None), ('place', None)]"
the start menu is not the easiest thing to navigate due to the stacking.,"[('menu', None), ('stacking', None)]"
only thing i would want to add to this is an internal bluray read/write drive.,"[('drive', None), ('internal', None)]"
"this computer was awful, i would never recomend it to another person.","[('computer', None), ('person', None)]"
the service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,"[('service', None), ('damage', None)]"
"the tech store i purchased this from sent it back,,,,,eventually i got a new or repaired machine approximately 3 weeks later.","[('machine', None), ('tech', None)]"
"i loved it then, but unfortunately it was before the days of wireless internet.","[('wireless', None), ('internet', None)]"
really like the textured surface which shows no fingerprints.,"[('textured surface', None), ('fingerprints', None)]"
"i will never again buy another acer, not will i buy gateway, or emachine as they are all from the same company.","[('acer', None), ('emachine', None)]"
the screen is bright and the keyboard is nice;,"[('screen', None), ('keyboard', None)]"
"i look forward to years of use, it has held up well over the years and it fits my needs very well.","[('uses', None)]"
im very happy with this computer!,"[('computer', None)]"
but the machine is awesome and ilife is great and i love snow leopard x.,"[('machine', None), ('snow leopard', None)]"
"high price tag, however.","[('tag', None), ('price', None)]"
"i thought learning the mac os would be hard, but it is easily picked up if you are familiar with a pc.","[('mac os', None), ('pc', None)]"
"my kids have to take their pcs in once a year to have them ""de-bugged"".","[('pcs', None), ('de-bugged', None)]"
"i had static in the output, and i had to reduce the sound output quality to ""fm"" as opposed to the default ""cd.","[('cd', None), ('sound', None)]"
it was a laugh too!,[]
"since i purchased my toshiba netbook, i have been very pleased with it, i have a laptob and a desktop.","[('toshiba netbook', None), ('desktop', None)]"
i bought my macbook a few months ago and it has been my baby ever since.,"[('macbook', None), ('baby', None)]"
that is how it is able to function better than any other pc.,"[('pc', None), ('function', None)]"
i custom ordered the machine from hp and could not understand the techie due to his accent.,"[('machine', None), ('techie', None)]"
it is easy to use and lightweight.,[]
i went to toshiba online help and found some suggestions to fix it.,[]
it is a bit heavy.,[]
after trying to get some help he disconnected on me.,"[('he', None), ('help', None)]"
they also have a longer service life than other computers (i have several friends who still use the older apple powerbooks).,"[('service', None), ('apple powerbooks', None)]"
