text,labs,set_similarity,labs_similarity
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!","[('operating system', '60', '44', 'positive'), ('runs', '88', '84', 'positive'), ('navigate', '31', '23', 'positive'), ('find files', '75', '65', 'positive')]",0.23868213593959808,0.22214007
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,"[('warrenty', '72', '64', 'negative')]",0.2639058232307434,0.2384835
I always swore by PCs and would never consider a MAC.,[],0.21509411931037903,0.18956755
"what an elegant, wonderful machine.",[],0.3087049722671509,0.29200545
This is now my 3rd MacBook Pro and I really honestly love it!,[],0.3009726107120514,0.25503752
for 2 months.,[],0.2980579733848572,0.3237161
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.","[('extended warranty', '42', '25', 'neutral')]",0.17009711265563965,0.15658252
Do you ever think HP would do that? NEVER!,[],0.21143049001693726,0.19999701
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,"[('memory', '22', '16', 'neutral'), ('speed', '103', '98', 'positive'), ('performace', '85', '75', 'positive')]",0.16365033388137817,0.15808752
It's not like I have used for half a year and then complained about it.,[],0.17494721710681915,0.17687276
Still trying to learn how to use it.,[],0.4365118145942688,0.4225146
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.","[('opening my Documents folder', '119', '92', 'negative')]",0.22707512974739075,0.21030773
I bought the netbook because it was smaller and lighter for me to carry around.,[],0.30567803978919983,0.29174036
The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure.,[],0.22069022059440613,0.18902905
We'll save our money to replace it with a Mac again!,[],0.3650261461734772,0.3345163
Thank you for your great product!,[],0.1918734610080719,0.17091873
"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...",[],0.07673875987529755,0.06965418
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,"[('operating systems', '110', '93', 'negative')]",0.3405860960483551,0.31328383
"Sorry Toshiba, but 1st impressions do count for something.",[],0.3538031578063965,0.32911444
"Then, within 5 months, the charger crapped out on me.","[('charger', '34', '27', 'negative')]",0.21084274351596832,0.20448212
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,"[('speed', '93', '88', 'positive')]",0.20991919934749603,0.18708925
Overall this laptop is great.,[],0.3744668662548065,0.3659129
I love the glass touchpad.,"[('glass touchpad', '25', '11', 'positive')]",0.3261909782886505,0.30112532
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,"[('hard drive', '76', '66', 'negative'), ('mother board', '93', '81', 'negative')]",0.31865498423576355,0.29692516
I am using the external speaker- sound is good.,"[('external speaker', '31', '15', 'positive'), ('sound', '38', '33', 'positive')]",0.1216437891125679,0.1170378
The Apple MC371LL/A 2.4Ghz 15.4-inch MacBook Pro Notebook is a horrible waste of money.,[],0.29725033044815063,0.2730561
"Ok, this is probably the best laptop series ever devised by Apple.",[],0.33703017234802246,0.29192096
"As of a couple weeks ago the middle portion of the laptop from top to bottom,,,about 4 inches across is hardly visible.",[],0.13289177417755127,0.114250444
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.","[('battery life', '30', '18', 'negative')]",0.15255796909332275,0.17008334
"Then HP sends it back to me with the hardware screwed up, not able to connect.","[('hardware', '45', '37', 'negative')]",0.23765480518341064,0.209558
I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.,[],0.27415838837623596,0.2450473
"Oh yeah, don't forget the expensive shipping to and from HP.","[('shipping', '44', '36', 'negative')]",0.23090718686580658,0.21474035
I would recommend anyone to buy from pcconnection express.,[],0.34254348278045654,0.28562233
Good luck.,[],0.14488746225833893,0.12118115
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.","[('Mac software', '42', '30', 'positive'), ('Microsoft software', '90', '72', 'negative'), ('use', '28', '25', 'positive')]",0.2287546545267105,0.19426054
"  My favorite by far, although the most expensive, was my Sony.",[],0.304008424282074,0.29864353
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.","[('delete  key', '91', '80', 'negative'), ('editing', '39', '32', 'negative')]",0.1682354211807251,0.16148822
Also I typed faster then then letters would show and it got to be realy annoying.,[],0.23155458271503448,0.2398565
As an owner of a Toshiba Satalite laptop computer things you should know before you buy.,[],0.40063971281051636,0.36564693
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"[('use', '15', '12', 'positive'), ('service', '35', '28', 'positive'), ('phone assistance', '76', '60', 'positive'), ('genius bar', '109', '99', 'positive')]",0.3736982047557831,0.34753877
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","[('battery life', '29', '17', 'positive'), ('battery life', '192', '180', 'positive'), ('gaming', '148', '142', 'neutral'), ('movie playing', '166', '153', 'neutral'), ('web browsing', '60', '48', 'neutral'), ('word editing', '77', '65', 'neutral')]",0.14436651766300201,0.19115245
"I shipped out on Saturday, July 17.",[],0.08827625960111618,0.08218926
I bought it for really cheap also and it's AMAZING.,[],0.17094749212265015,0.15803772
"Acer has set me up with FREE recovery discs, when they are available since I asked.","[('recovery discs', '43', '29', 'positive')]",0.23508012294769287,0.19750065
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","[('Office Max\'s ""Max Assurance""', '45', '17', 'neutral')]",0.19309890270233154,0.17552634
If you find yourself in the market for a new laptop (and have the money) don't exclude looking at the MBPs.,[],0.2966138422489166,0.27043092
I eventually did the migration from my iMac backup disc which uses USB.,"[('iMac backup disc', '55', '39', 'neutral'), ('USB', '70', '67', 'neutral')]",0.10798446834087372,0.073594786
Those things are very important - vital even!,[],0.059483956545591354,0.056667067
"-They say it will take ""up to two weeks"".",[],0.004259343724697828,0.017208397
I didn't like one thing about it.,[],0.13699769973754883,0.13493441
"The battery life seems to be very good, and have had no issues with it.","[('battery life', '16', '4', 'positive')]",0.03240527957677841,0.073134005
Enabling the battery timer is useless.,"[('battery timer', '26', '13', 'negative')]",0.09451186656951904,0.09881391
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,"[('Temperatures', '12', '0', 'neutral'), ('Core Processing Unit temperatures', '97', '64', 'neutral')]",0.04524097219109535,0.03480691
"Yeah, to you.",[],0.1521257609128952,0.14958276
I got a mac as my HS graduation gift.,[],0.3774724006652832,0.34838244
I have now had it for 1.5 months and love it.,[],0.16784432530403137,0.1658496
It turned out it's not really a problem to have a Mac.,[],0.18362484872341156,0.14807278
Page just disapeared after you got yahoo or downloaded something.,[],0.19731806218624115,0.18831627
Images can be multi-selected and viewed swiftly or in slideshow mode.,[],0.1943105161190033,0.16828081
Going to bring it to service today.,"[('service', '28', '21', 'neutral')]",0.322124719619751,0.30117592
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.","[('virus protection for Mac', '53', '29', 'positive')]",0.12018793076276779,0.08587573
"But we had paid for bluetooth, and there was none.","[('bluetooth', '29', '20', 'negative')]",0.25224992632865906,0.23405081
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.","[('LG notebook service center', '48', '22', 'neutral'), ('hinge', '98', '93', 'negative')]",0.1785098910331726,0.14837717
"My daughter uses it for games, email, facebook, pictures and music.","[('games', '29', '24', 'neutral')]",0.37415778636932373,0.35036862
Laptop is to be used like a Netbook.,[],0.4211389422416687,0.39004
"It is always reliable, never bugged and responds well.","[('responds', '48', '40', 'positive')]",0.2171977311372757,0.20798136
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,"[('motherboard', '74', '63', 'negative'), ('motherboard', '125', '114', 'neutral')]",0.23749315738677979,0.21740527
"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient.",[],0.1244284138083458,0.113560244
"It was slow, locked up, and also had hardware replaced after only 2 months!","[('hardware', '45', '37', 'negative')]",0.3661493957042694,0.36178365
they had to replace the motherboard in April,"[('motherboard', '35', '24', 'negative')]",0.28913432359695435,0.2683013
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.","[('use', '113', '110', 'positive')]",0.20803600549697876,0.19355464
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.","[('representive at Microsoft', '56', '31', 'negative'), ('system', '176', '170', 'negative'), ('XP', '219', '217', 'positive')]",0.2862301170825958,0.27074143
There is a little indent to help open it - but good luck with that.,[],0.027333885431289673,-0.0010953093
I love WIndows 7 which is a vast improvment over Vista.,"[('WIndows 7', '16', '7', 'positive'), ('Vista', '54', '49', 'negative')]",0.35269662737846375,0.34861585
"  Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",[],0.08335239440202713,0.0719573
It Was a great deal after all.,[],0.14552058279514313,0.14722025
This mac is great!,[],0.38853567838668823,0.3521911
"Keyboard is great, very quiet for all the typing that I do.","[('Keyboard', '8', '0', 'positive')]",0.2381976991891861,0.24553625
I grew up in a design family so it only made sense.,[],0.17264319956302643,0.17098127
Gave phonenumber.,[],0.30001962184906006,0.30861902
It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.,[],0.22334982454776764,0.2086677
Oh my goodness-I am not a happy camper.,[],0.04055000841617584,0.03670592
Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,"[(""Dell's customer disservice"", '26', '0', 'negative')]",0.25865575671195984,0.23907647
I'd recommend this laptop to anyone!,[],0.35113513469696045,0.33126864
"Yet, HP won't do anything about the problem.",[],0.17657655477523804,0.17724292
i'm returning mine,[],0.3537369668483734,0.3580487
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.","[('cooling system', '23', '9', 'negative'), ('use', '67', '64', 'neutral')]",0.19719180464744568,0.19991216
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.","[('quad core I7', '109', '97', 'positive')]",0.2101488560438156,0.20216224
It's a bummer and one out of five is being kind.,[],-0.0028290727641433477,-0.010651618
"This is what they told me: It heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables.",[],0.22539998590946198,0.21148866
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.","[('sales associate', '65', '50', 'positive')]",0.233759805560112,0.20988806
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;","[('system', '35', '29', 'positive'), ('Windows applications', '78', '58', 'neutral')]",0.33884069323539734,0.323641
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,"[('virus program', '71', '58', 'negative')]",0.19655050337314606,0.17704849
This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,[],0.31531235575675964,0.28875577
One of them seems to have worked.,[],0.18368998169898987,0.16960411
Which I still use and have hooked up to my TV.,[],0.3497108817100525,0.32032132
The problem I had with this unit was unresolvable.,[],0.18928375840187073,0.15414734
It weighed like seven pounds or something like that.,"[('weighed', '10', '3', 'neutral'), ('seven pounds', '28', '16', 'neutral')]",0.13066400587558746,0.14205725
"2 months later, the battery went.","[('battery', '27', '20', 'negative')]",0.2423512190580368,0.26965427
You may need to special order a bag.,"[('bag', '35', '32', 'neutral')]",0.04718777909874916,0.027712395
It's color is even cool.,"[('color', '10', '5', 'positive')]",0.13207030296325684,0.11479466
and it has blue screen crashed on me twice.,[],0.3471202254295349,0.32283878
  Another two weeks later and it was back in my possession.,[],0.16930244863033295,0.17065415
keys are all in weird places and is way too large for the way it is designed.,"[('keys', '4', '0', 'negative'), ('designed', '76', '68', 'negative')]",0.14871935546398163,0.13196294
"I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST one I've ever had.",[],0.3765525817871094,0.35030916
We purchase the Dell XPS several years ago for my home business.,[],0.3590181767940521,0.33313155
"Have purchased many products over the years from MacConnection and this transaction, like all the others, we smoothly with no problems.",[],0.18922443687915802,0.14918306
I would recommend anyone to buy from pcconnection express.,[],0.34254348278045654,0.28562233
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.","[('style', '100', '95', 'positive'), ('speed', '107', '102', 'positive')]",0.10947300493717194,0.095713906
He gave me this PC about 3 years ago and up to this point im still sitting here using it.,[],0.4237287640571594,0.39994943
I'm pleased.,[],0.15279288589954376,0.1395164
The keyboard feels good and I type just fine on it.,"[('keyboard', '12', '4', 'positive')]",0.2233838438987732,0.22105521
"With a healthy pessimism, I took the machine home and tried to find a flaw.",[],0.20849201083183289,0.19544657
Shiny  This Laptop is the Best of the best!,[],0.3695996105670929,0.34259775
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,"[('mousepad', '84', '76', 'neutral')]",0.2829066514968872,0.24774316
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.","[('battery', '69', '62', 'negative')]",0.13179783523082733,0.1511246
"Don't waste their money, save it and but a mac.",[],0.39017048478126526,0.3575943
Money and time well spent!,[],0.2517127990722656,0.26803797
  Gradually the freezing screen evolved into a screen that froze in weird shapes.,[],0.2217181771993637,0.21577246
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple","[('sales', '31', '26', 'positive'), ('service', '40', '33', 'positive'), ('DELL SUPPORT', '140', '128', 'positive')]",0.45795938372612,0.44113472
Good laptop for the money.,[],0.4225609004497528,0.4217887
I like the laptop overall.,[],0.3614789843559265,0.35785156
I now travel with this laptop and my work PC.,[],0.3402870297431946,0.3158785
  I am however pleased that it is still hanging in there.,[],0.057821374386548996,0.042701975
Both my husband and I have this model Toshiba.,[],0.3717105984687805,0.33384594
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.","[('hard drive', '143', '133', 'neutral'), ('motherboard', '163', '152', 'neutral')]",0.34367239475250244,0.31277215
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.","[('speed', '63', '58', 'positive'), ('construction quality', '85', '65', 'positive'), ('longevity', '100', '91', 'positive'), ('cost', '14', '10', 'conflict')]",0.002337562618777156,0.008965518
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","[('keyboard', '79', '71', 'positive'), ('keys', '88', '84', 'positive'), ('configuration of ""extra key""', '146', '118', 'positive')]",0.24482274055480957,0.21947792
) I also tried the touch pad and compared it to other netbooks in the store.,"[('touch pad', '28', '19', 'neutral')]",0.3012600839138031,0.25887486
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.","[('use', '73', '70', 'positive'), ('security', '83', '75', 'positive'), ('pricetag', '154', '146', 'conflict')]",0.1936621218919754,0.19043025
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.","[('use', '39', '36', 'negative'), ('work', '96', '92', 'negative')]",0.2000139355659485,0.20398918
lots of preloaded software.,"[('preloaded software', '26', '8', 'positive')]",0.46948379278182983,0.4427566
"  Sony, Acer, Dell, Packard Bell and Toshiba.",[],0.41544342041015625,0.40034693
"and then, a guy came out to serve me instead.",[],0.04422037675976753,0.04958411
Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,[],0.2465689480304718,0.2450899
Have returned that laptop unused.,[],0.404348224401474,0.38321918
  Will probably never buy a HP again.,[],0.2524496912956238,0.24688637
I got tired of buying laptops and having them stop working after a year.,[],0.34434840083122253,0.32657498
I should have been more observant.,[],0.17099179327487946,0.14281824
"I wish it had a webcam though, then it would be perfect!","[('webcam', '22', '16', 'negative')]",0.21715562045574188,0.18852411
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,"[('vga port', '59', '51', 'positive'), ('screen', '98', '92', 'neutral')]",0.39260047674179077,0.36018187
