text,labs
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[('selection', None), ('people', None), ('pickles', None), ('whole experience', None)]"
My suggestion is to eat family style because you'll want to try the other dishes.,"[('other dishes', None), ('family style', None), ('suggestion', None)]"
"Best of all is the warm vibe, the owner is super friendly and service is fast.","[('service', None), ('vibe', None), ('owner', None)]"
This isn't a value joint.,[]
Faan's got a great concept but a little rough on the delivery.,"[('concept', None), ('delivery', None)]"
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[('beat', None), ('atmosphere', None), ('service', None), ('downtown neighborhood spot', None), ('food', None)]"
"Great food at REASONABLE prices, makes for an evening that can't be beat!","[('prices', None), ('food', None)]"
Look foward to trying the Ruben upon returning.,[]
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"[('candle', None), ('only other steakhouse', None)]"
We usually go to the Chart House to celebrate a birthday or anniversary.,"[('anniversary', None), ('birthday', None)]"
this little place has a cute interior decor and affordable city prices.,"[('city prices', None), ('interior decor', None), ('little place', None)]"
You'll adore it.,[]
Two words: Free wine.,"[('wine', None)]"
The price is reasonable although the service is poor.,"[('service', None), ('price', None)]"
"The quantity is also very good, you will come out satisfied.","[('quantity', None)]"
I have been to Roth's twice and both times were very disappointing.,"[('times', None)]"
Worth visiting the 1st Ave spot because it is the original store.,"[('1st ave spot', None), ('original store', None)]"
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[('serious sushi lovers', None), ('second floor', None)]"
"Raga's is a romantic, cozy restaurant.","[('restaurant', None), ('raga', None)]"
The fried rice is amazing here.,"[('rice', None)]"
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[('salad', None), ('mussels', None), ('dressing', None), ('puff pastry goat cheese', None)]"
it's a perfect place to have a amanzing indian food.,"[('amanzing indian food', None), ('place', None)]"
The place is so cool and the service is prompt and curtious.,"[('service', None), ('place', None)]"
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[('noodles', None), ('mild broth', None), ('cup', None)]"
I just wonder how you can have such a delicious meal for such little money.,"[('such little money', None), ('meal', None)]"
The food was delicious but do not come here on a empty stomach.,"[('empty stomach', None), ('food', None)]"
The wine list is excellent.,"[('wine list', None)]"
so garantuan that you can't fit them in a toaster.,"[('toaster', None)]"
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","[('manhattan', None)]"
They wouldnt even let me finish my glass of wine before offering another.,"[('glass', None)]"
I highly recommend the Sophia pizza.,[]
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","[('detailed questions', None)]"
This is a consistently great place to dine for lunch or dinner.,"[('lunch', None), ('dinner', None), ('place', None)]"
"Nice atmosphere, the service was very pleasant and the desert was good.","[('atmosphere', None), ('service', None)]"
All the people that I bring there go back on their own and bring THEIR friends!,"[('people', None), ('friends', None)]"
After really enjoying ourselves at the bar we sat down at a table and had dinner.,[]
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","[('service', None), ('chilled out atmosphere', None), ('environment', None), ('food', None)]"
Not what I wanted to hear.,[]
Try the lasagnette appetizer.,"[('lasagnette appetizer', None)]"
"Pricey, but worth a try, at least once.","[('try', None)]"
"I've been there a few times, and I usually end up sitting next to some pretty odd people.","[('few times', None), ('people', None)]"
I liked the beer selection!,[]
"Great food, good size menu, great service and an unpretensious setting.","[('unpretensious setting', None), ('size menu', None), ('service', None), ('food', None)]"
Go here for a romantic dinner but not for an all out wow dining experience.,"[('dinner', None)]"
Can't wait to go back.,[]
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"[('taste buds', None), ('place', None)]"
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"[('wine list selection', None)]"
"With the great variety on the menu , I eat here often and never get bored .","[('menu', None)]"
The menu is very limited - i think we counted 4 or 5 entrees.,"[('menu', None)]"
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",[]
The menu is limited but almost all of the dishes are excellent.,"[('menu', None)]"
Not too crazy about their sake martini.,"[('sake martini', None)]"
"Great bagels, spreads and a good place to hang out in.","[('spreads', None), ('bagels', None), ('place', None)]"
"The service varys from day to day- sometimes they're very nice, and sometimes not.","[('service varys', None)]"
"whoever the jazz duo was, they were on POINT.",[]
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"[('incoming guests', None), ('table', None)]"
This place is a great bargain.,"[('place', None)]"
We happened upon this place purely by accident and were pleased with the results.,"[('results', None)]"
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[('restaurant', None), ('food', None)]"
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"[('new locations', None)]"
We always have a delicious meal and always leave feeling satisfied.,"[('meal', None)]"
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","[('chopsticks', None), ('ingredients', None)]"
First went here to enjoy their garden terrace.,"[('garden terrace', None)]"
"My husbands was perfect, my was well done and dry.","[('husbands', None)]"
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","[('everyone', None), ('extra mile', None)]"
The pizza was pretty good and huge.,"[('pizza', None)]"
Sapphire is the only Indian restaurant I go to when I'm in NYC.,"[('restaurant', None), ('sapphire', None)]"
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","[('cuisine', None)]"
I heartily recommend.,[]
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"[('old ones', None), ('new friends', None)]"
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"[('review', None), ('atmosphere', None)]"
They are often crowded on the weekends but they are efficient and accurate with their service.,"[('service', None)]"
All my co-workers were amazed at how small the dish was.,"[('co-workers', None)]"
"The atmosphere is unheralded, the service impecible, and the food magnificant.","[('atmosphere', None), ('food', None)]"
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",[]
"The wait staff is friendly, and the food has gotten better and better!","[('wait staff', None)]"
"This place, which is only a few months old, is perhaps Queens' biggest secret!",[]
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","[('vibe', None), ('area', None)]"
This place is so much fun.,"[('place', None)]"
I was glad I did.,[]
Right off the L in Brooklyn this is a nice cozy place with good pizza.,"[('brooklyn', None), ('pizza', None), ('place', None)]"
I've never been treated so rudely.,[]
I'll be back soon.,[]
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"[('pre-theater menu', None)]"
Went inside and I started to get excited.,[]
I also ordered for delivery and the restaurant forgot half the order.,[]
Our server checked on us maybe twice during the entire meal.,"[('server', None), ('entire meal', None)]"
"However, it is jus too good to not praise it.",[]
We have been to Montparnasse many times and return often for good reason.,"[('montparnasse many times', None), ('reason', None), ('return', None)]"
The strong scents coming from the left and right of me negatively affected my taste buds.,"[('scents', None)]"
We had the lobster sandwich and it was FANTASTIC.,[]
It's somewhere you can eat and be happy.,[]
"If you wrote a bad review, it's because you don't understand what Rao's is all about.","[('review', None), ('rao', None)]"
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",[]
but overall i give it a 10,[]
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[('challenge', None), ('shell crab', None), ('spider roll', None)]"
Deep Fried Skewers are good and still rare to find in NYC.,"[('deep fried skewers', None), ('nyc', None)]"
"I have tried to make reservations, but both times, the hostess didn't have my name.","[('hostess', None), ('reservations', None), ('name', None)]"
I also recommend the rice dishes or the different varieties of congee (rice porridge).,"[('congee', None), ('different varieties', None), ('rice dishes', None)]"
Their tuna tartar appetizer is to die for.,"[('tuna tartar appetizer', None)]"
This was one of the BEST restaurants I've ever been to.,[]
This restaurant used to be pretty decent.,"[('restaurant', None)]"
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","[('soups', None), ('fish dishes', None), ('execution', None), ('chef', None)]"
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","[('french fare', None), ('artisanal', None), ('cheese', None), ('wine', None)]"
I love Indian food and consider myself to be quite an expert on it.,"[('expert', None), ('food', None)]"
Some baby pizzas get their wish.,[]
Plenty of choices to make your own creation.,"[('own creation', None), ('choices', None), ('plenty', None)]"
It was tiny and I felt like I was eating in someone's living room.,[]
I was there on sat.,[]
Overall A oh ya even though there is waiting it is deff worth it,[]
The lava cake dessert was incredible and I recommend it.,"[('lava cake dessert', None)]"
VT is what baby pizzas hope to be when they grow up.,"[('baby pizzas', None)]"
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","[('overall experience', None), ('service', None), ('unaccommodating managers', None), ('food', None)]"
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"[('lahore', None), ('food', None), ('duck', None), ('night', None), ('place', None)]"
The last time I went we were seated at a table in a corridor next to the kitchen.,"[('last time', None), ('kitchen', None)]"
good selection of wines ranging from affordable to high end.,"[('selection', None), ('wines', None), ('high end', None)]"
"Nice restaurant overall, with classic upscale Italian decor.","[('restaurant', None), ('decor', None)]"
Not impressed with the food.,"[('food', None)]"
The entire dining experience was wonderful!,"[('entire dining experience', None)]"
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"[('wine selection', None), ('bottle', None), ('glass', None)]"
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"[('service', None)]"
"Order the panang duck, it's fantastic.",[]
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","[('raw vegatables', None), ('food', None)]"
"Other than the crappy service from two individuals, it's great.","[('service', None)]"
What more can you ask for?,[]
Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,"[('line', None), ('particular establishment', None)]"
They have authentic Indian at amazin prices.,"[('amazin prices', None)]"
You are treated just like royality.,[]
"There's nice and quiet, small but enough for 6 (or more).",[]
Ambiance- relaxed and stylish.,"[('ambiance', None)]"
I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,"[('bronx cafe', None), ('last month', None)]"
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.","[('duck', None), ('sea bass', None), ('bbq salmon', None)]"
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","[('crust right', None), ('pizza', None), ('ingredients', None)]"
"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).","[('hole', None), ('wall', None)]"
and yes Dal Bukhara is so dam good and so are all the kababs.,"[('dal bukhara', None)]"
I look forward to eating here again,[]
I've been coming here as a child and always come back for the taste.,"[('taste', None)]"
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"[('neighborhood joints', None), ('meal', None), ('price', None)]"
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","[('everything', None)]"
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","[('food', None)]"
The food always tastes fresh and served promptly.,"[('food', None)]"
I know because I live nearby.,[]
The pizza here is delicious.,[]
My entire family was horrified.,"[('entire family', None)]"
On a monthly basis my friends and I get together and have a girls night out.,"[('girls night', None), ('monthly basis', None), ('friends', None)]"
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","[('garlic knots', None), ('delivery', None), ('pizza', None)]"
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.","[('sichuan', None), ('chinese food', None), ('wu liang ye', None)]"
But who says Murray's is anything about service.,[]
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","[('restaurant', None), ('part', None), ('place', None)]"
I have NEVER been disappointed in the Red Eye.,[]
Hats off to the chef.,[]
This should have been done in a back room - away from customers.,"[('customers', None)]"
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","[('importance', None), ('little things', None), ('seeming teapot', None)]"
Glad you have the luxury to throw out paying customers.,[]
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[('mozzarella', None), ('pizzaria', None), ('shredded cheese', None)]"
Its an excellent place to relax and the food is one of the best in the city of New York.,"[('place', None)]"
"service is friendly, and never had a problem walking in and getting a table.","[('service', None)]"
The atmosphere was crowded but it was a great bistro-type vibe.,"[('type vibe', None)]"
Check it out,[]
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","[('restaurant', None), ('waitress', None)]"
Don't go.,[]
The food was bland oily.,"[('food', None)]"
But they do.,[]
"What is even better, is that the prices are very affordable as well, and the food is really good.","[('prices', None), ('food', None)]"
The fish is fresh but the variety of fish is nothing out of ordinary.,"[('fish', None)]"
Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,"[('someother places', None)]"
Suan has challenged this loyalty.,[]
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","[('house salad', None), ('pesto pizza', None), ('wine', None), ('bottle', None), ('meal', None)]"
"And Kruno, the beverage manager is the best bartender I have yet to come across.",[]
"Ambiance and music funky, which I enjoy.","[('music', None), ('ambiance', None)]"
"The food, drinks and service are clearly among the best in the city.","[('drinks', None), ('service', None), ('city', None), ('food', None)]"
I went there in late afternoon for some bite size food and refleshment with my date.,"[('late afternoon', None)]"
"It's a really great deal, considering we got full off of four dollars.","[('deal', None), ('dollars', None)]"
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","[('maze', None), ('foods', None), ('ambiance', None), ('sommlier', None), ('tastes', None), ('star service', None), ('waiters', None), ('captain', None)]"
Went with mommy (the only person who could afford taking me here).,"[('only person', None)]"
My friends and I were on vacation in NY and was referred to Chance by a friend.,[]
"Last time I went here, the waitress didn't come back after taking our order.","[('waitress', None), ('time', None)]"
Try the tandoori salmon!,"[('tandoori salmon', None)]"
"I am completely hooked on this place, it is ridiculous.","[('place', None)]"
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[('experience', None)]"
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",[]
"Have recommended the place to friends, always gets good response.","[('response', None)]"
We will return many times for this oasis in mid-town.,"[('mid-town', None)]"
I love the atmorphere @ peep!,[]
Enjoy!,[]
We weren't!,[]
This is one of my favorite restaurants and it is not to be missed.,"[('restaurants', None)]"
(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,"[('restaurant', None)]"
It could have been handled better.,[]
The service was attentive and her suggestions of menu items was right on the mark.,"[('suggestions', None), ('mark', None), ('service', None), ('menu items', None)]"
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,"[('other night', None), ('everything', None), ('plate', None)]"
Please be aware that it's CASH or AMEX only!,[]
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!","[('legacies', None), ('community', None), ('true love', None), ('pizza', None)]"
It's a rather cramped and busy restaurant and it closes early.,"[('restaurant', None)]"
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","[('service', None), ('environment', None), ('food', None)]"
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",[]
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,"[('special occasion', None), ('couple', None), ('place', None)]"
They were served warm and had a soft fluffy interior.,"[('fluffy interior', None)]"
What came to our table was burned beyond recognition and stringy.,[]
I had the Pad Thai and the noodles were sticky.,"[('noodles', None), ('pad thai', None)]"
"So I've never actually been to M proper, but I've had it delivered a few times.","[('few times', None)]"
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.","[('new 5th avenue restaurants', None)]"
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","[('lunch', None)]"
The hostess is rude to the point of being offensive.,"[('hostess', None), ('point', None)]"
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!","[('wait building outisde', None), ('craving', None), ('food', None)]"
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","[('counters', None), ('narrow corridor', None), ('small counter', None), ('deal', None), ('tiny space', None)]"
The food is great.,"[('food', None)]"
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,"[('leafy road kill', None)]"
"Lunch came with pickels and slaw, no extra charge.","[('extra charge', None)]"
Decent wine at reasonable prices.,"[('prices', None), ('wine', None)]"
All conveniently delivered right to the door.,[]
even the wine by the glass was good.,"[('glass', None)]"
Nice Family owned traditional restaurant.,"[('traditional restaurant', None)]"
would have rather tried terrace in the sky or water club for that price,[]
This dish is my favorite and I always get it when I go there and never get tired of it.,"[('dish', None)]"
"I also ordered the Change Mojito, which was out of this world.",[]
Okay service.,[]
The only thing more wonderful than the food (which is exceptional) is the service.,"[('only thing', None), ('service', None), ('food', None)]"
We were very pleasantly surprised.,[]
"The food was just awful, ATROCIOUS actually.","[('food', None)]"
I will never visit this restaurant again.,"[('restaurant', None)]"
The soup for the udon was soy sauce and water.,[]
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","[('calamari', None), ('anti-pasta', None)]"
The waitress suggested glasses of wine that went very well with the food.,[]
"(or sister, in my case!).",[]
I've eaten at many different Indian restaurants.,[]
"They might be all business at the counter when you give your order, but their food says I love you.",[]
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","[('rolls', None), ('assorted sashimi', None), ('types', None), ('ceviche mix', None), ('banana tempura', None), ('sushi', None), ('crab dumplings', None)]"
Try their plain pizza with fresh garlic or eggplant.,"[('garlic', None), ('plain pizza', None), ('eggplant', None)]"
Don't go there!,[]
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.","[('attention', None), ('crowd', None), ('small effort', None)]"
Good luck getting a table.,[]
"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",[]
Don't look down your nose at me like that...,"[('nose', None)]"
Planet Thai is great!,"[('planet thai', None)]"
The service is awful.,"[('service', None)]"
Just don't do it.,[]
Just ignore the trendy wannabes.,"[('wannabes', None)]"
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!","[('italian dishes', None), ('eye', None), ('takeout menu', None)]"
"Trust me, it will be great, and all of it will be devoured in no time.",[]
My girlfiends and I ate at O.G. again last night.,"[('last night', None)]"
I wish they had one near my office- I would go everyday.,[]
Finally!,[]
Amma has the worst value for money I have experienced in NYC over the past 2 years.,[]
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",[]
I think this would be a pretty good spot if it were not so overpriced and overrated.,[]
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,"[('hostess', None), ('minutes', None), ('name', None)]"
The pizza is good though.,"[('pizza', None)]"
bottles of wine are cheap and good.,"[('bottles', None), ('wine', None)]"
You will not be disapointed at all.,[]
Walk-ins are risky too.,"[('ins', None)]"
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","[('food', None), ('different beers', None), ('husband', None), ('dish', None), ('guest', None)]"
They didn't give us the dinner special until we asked for it.,"[('dinner', None)]"
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,"[('crabmeat lasagna', None)]"
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.","[('word', None), ('advice', None), ('room', None)]"
Very good service and very good prices.,"[('prices', None), ('service', None)]"
I recently went to this restaurant with some co-workers for lunch and had an amazing time.,"[('time', None)]"
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","[('needs', None), ('service', None), ('menu', None), ('meal', None)]"
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,[]
Our food was great too!,"[('food', None)]"
Open late (well as late as I ever got there and I'm a night person),[]
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.","[('revenue', None), ('thing', None)]"
"Get your food to go, find a bench, and kick back with a plate of dumplings.","[('bench', None), ('food', None)]"
"Please try the Filet Mignon, its just the most tender piece ever.","[('filet mignon', None)]"
"Everything we had was pretty good, but we have only been there once.","[('everything', None)]"
"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",[]
Something about them being busy with holiday party's.,"[('holiday party', None), ('something', None)]"
The sake menu should not be overlooked!,[]
I would highly recommend.,[]
This place is great.,"[('place', None)]"
the drinks are amazing and half off till 8pm.,"[('drinks', None), ('pm', None)]"
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,"[('nha trang', None)]"
"With so many poor experiences to be had in the theater district, is truly an excellent find!",[]
This has got to be one of the most overrated restaurants in Brooklyn.,[]
"The service, wine selection, ambiance are all outstanding and deserve recognition.","[('service', None)]"
"Went there last night for 2 year anniversery, and wasn't all that impressed.","[('last night', None)]"
It was rather pathetic that it took them over an hour to seat us.,[]
"We were seated promptly as we had reservations, however after that the service was slow.","[('service', None)]"
At first I was slightly skeptical because it was a sushi restaurant in the middle of NYC.,[]
"It's really also the service, is good and the waiters are friendly.",[]
Suan was a recommendation that I am glad we heeded.,[]
"The food was pretty good, but a little flavorless and the portions very small, including dessert.","[('portions', None), ('dessert', None), ('food', None)]"
We visit at least once a month.,[]
"It is set far from the small street it's on, and there is no traffic noise.","[('small street', None)]"
"Also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them.","[('night', None), ('families', None), ('animals', None), ('place', None)]"
I'll keep this short.,[]
I felt as though I were eating in Paris.,[]
Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,"[('flagship green bo restaurant', None), ('food', None)]"
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.","[('service', None), ('ambience', None)]"
"However, it's not worth a special trip.","[('special trip', None)]"
Nice value.,"[('value', None)]"
Gigino's in Wagner Park is so enjoyable.,"[('wagner park', None), ('gigino', None)]"
And it was quick which is very important.,[]
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,"[('restaurant', None), ('dinner meeting', None), ('place', None)]"
All the NYU students love this place so it makes for a fun young atmosphere.,"[('young atmosphere', None)]"
The food here does a great service to the name (Cantonese that is...).,"[('service', None)]"
"But, nothing stands out about the cooking.",[]
Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,"[('atmosphere', None), ('food', None)]"
"If that's a problem, go to McDonald's and destroy your insides.","[('mcdonald', None), ('insides', None)]"
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"[('penny', None), ('prix fixe menu', None), ('quality', None), ('quantity', None)]"
I've been here 3 times for lunch and it is one of my favorites in the city.,[]
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.","[('entire life', None)]"
"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.",[]
Always busy but fast moving.,[]
Too bad the food wasn't of the same heritage.,"[('same heritage', None)]"
"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.","[('server', None), ('specials', None), ('menu', None)]"
Sexy.,[]
"The food was really good, I had the onion soup and it was one of the best ever.","[('food', None)]"
"I will have to say, this Bengali Fast Food joint is clearly my favorite.","[('food joint', None)]"
I'm not picky - but it was actually gross.,[]
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.","[('restaurant', None), ('deal', None)]"
"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.","[('staff', None), ('wall', None), ('help', None)]"
"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.",[]
"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.","[('regular roll', None), ('rice', None), ('out roll', None)]"
"Even with John's and Joe's around the corner, this place will make a name for itself.","[('joe', None), ('corner', None), ('name', None), ('john', None), ('place', None)]"
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.","[('little mouth', None), ('consistency', None)]"
"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.","[('gin', None), ('tonic', None)]"
My girlfriend convinced me to go in the other night for a quick bite.,"[('girlfriend', None), ('quick bite', None), ('other night', None)]"
"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).","[('little dishes', None), ('sum', None)]"
despite the untasteful previous review...,"[('untasteful previous review', None)]"
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.","[('place prima facie', None), ('literate heart', None)]"
"Sure, everyone's got their favorite, but to know Sal, is to know New York.","[('sal', None), ('new york', None)]"
I think that it is absolutely brilliant and well runned business operation.,[]
Also they were $15 each!,[]
