text,terms
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[('broth with noodles', '53', '35', 'positive')]"
I just wonder how you can have such a delicious meal for such little money.,"[('meal', '52', '48', 'positive'), ('money', '74', '69', 'positive')]"
The food was delicious but do not come here on a empty stomach.,"[('food', '8', '4', 'conflict')]"
The wine list is excellent.,"[('wine list', '13', '4', 'positive')]"
so garantuan that you can't fit them in a toaster.,[]
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","[('Thai food', '93', '84', 'positive')]"
They wouldnt even let me finish my glass of wine before offering another.,"[('glass of wine', '48', '35', 'neutral')]"
I highly recommend the Sophia pizza.,[]
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","[('specials', '83', '75', 'neutral')]"
This is a consistently great place to dine for lunch or dinner.,"[('lunch', '52', '47', 'neutral'), ('dinner', '62', '56', 'neutral'), ('dine', '42', '38', 'positive')]"
"Nice atmosphere, the service was very pleasant and the desert was good.","[('atmosphere', '15', '5', 'positive'), ('service', '28', '21', 'positive'), ('desert', '61', '55', 'positive')]"
All the people that I bring there go back on their own and bring THEIR friends!,[]
After really enjoying ourselves at the bar we sat down at a table and had dinner.,"[('bar', '42', '39', 'positive'), ('table', '65', '60', 'neutral'), ('dinner', '80', '74', 'neutral')]"
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","[('service', '16', '9', 'positive'), ('food', '32', '28', 'positive'), ('atmosphere', '62', '52', 'positive'), ('environment', '78', '67', 'positive')]"
Not what I wanted to hear.,[]
Try the lasagnette appetizer.,"[('lasagnette appetizer', '28', '8', 'positive')]"
"Pricey, but worth a try, at least once.",[]
"I've been there a few times, and I usually end up sitting next to some pretty odd people.",[]
I liked the beer selection!,"[('beer selection', '26', '12', 'positive')]"
"Great food, good size menu, great service and an unpretensious setting.","[('food', '10', '6', 'positive'), ('menu', '26', '22', 'positive'), ('service', '41', '34', 'positive'), ('setting', '70', '63', 'positive')]"
Go here for a romantic dinner but not for an all out wow dining experience.,"[('dinner', '29', '23', 'positive'), ('dining', '63', '57', 'positive')]"
Can't wait to go back.,[]
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"[('Dosa', '21', '17', 'neutral')]"
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"[('Wine list selection', '19', '0', 'positive'), ('wine-by-the-glass', '49', '32', 'positive')]"
"With the great variety on the menu , I eat here often and never get bored .","[('menu', '34', '30', 'positive')]"
The menu is very limited - i think we counted 4 or 5 entrees.,"[('menu', '8', '4', 'negative'), ('entrees', '60', '53', 'negative')]"
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",[]
The menu is limited but almost all of the dishes are excellent.,"[('menu', '8', '4', 'negative'), ('dishes', '48', '42', 'positive')]"
Not too crazy about their sake martini.,"[('sake martini', '38', '26', 'negative')]"
"Great bagels, spreads and a good place to hang out in.","[('bagels', '12', '6', 'positive'), ('spreads', '21', '14', 'positive')]"
"The service varys from day to day- sometimes they're very nice, and sometimes not.","[('service', '11', '4', 'conflict')]"
"whoever the jazz duo was, they were on POINT.",[]
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"[('table', '95', '90', 'neutral')]"
This place is a great bargain.,[]
We happened upon this place purely by accident and were pleased with the results.,[]
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[('food', '23', '19', 'positive')]"
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,[]
We always have a delicious meal and always leave feeling satisfied.,"[('meal', '31', '27', 'positive')]"
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","[('ingredients', '19', '8', 'neutral'), ('chopsticks', '43', '33', 'neutral')]"
First went here to enjoy their garden terrace.,"[('garden terrace', '45', '31', 'positive')]"
"My husbands was perfect, my was well done and dry.",[]
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",[]
The pizza was pretty good and huge.,"[('pizza', '9', '4', 'positive')]"
Sapphire is the only Indian restaurant I go to when I'm in NYC.,[]
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","[('cuisine', '11', '4', 'neutral')]"
I heartily recommend.,[]
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,[]
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"[('atmosphere', '60', '50', 'positive')]"
They are often crowded on the weekends but they are efficient and accurate with their service.,"[('service', '93', '86', 'positive'), ('crowded', '22', '15', 'negative')]"
All my co-workers were amazed at how small the dish was.,"[('dish', '51', '47', 'negative')]"
"The atmosphere is unheralded, the service impecible, and the food magnificant.","[('atmosphere', '14', '4', 'positive'), ('service', '41', '34', 'positive'), ('food', '65', '61', 'positive')]"
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","[('grilled branzino', '40', '24', 'negative')]"
"The wait staff is friendly, and the food has gotten better and better!","[('wait staff', '14', '4', 'positive'), ('food', '40', '36', 'positive')]"
"This place, which is only a few months old, is perhaps Queens' biggest secret!",[]
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","[('vibe', '48', '44', 'positive'), ('French food', '87', '76', 'positive'), ('packed', '22', '16', 'negative')]"
This place is so much fun.,[]
I was glad I did.,[]
Right off the L in Brooklyn this is a nice cozy place with good pizza.,"[('pizza', '69', '64', 'positive'), ('place', '53', '48', 'positive')]"
I've never been treated so rudely.,[]
I'll be back soon.,[]
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"[('pre-theater menu', '41', '25', 'positive')]"
Went inside and I started to get excited.,[]
I also ordered for delivery and the restaurant forgot half the order.,"[('delivery', '27', '19', 'negative'), ('order', '68', '63', 'negative')]"
Our server checked on us maybe twice during the entire meal.,"[('server', '10', '4', 'negative'), ('meal', '59', '55', 'neutral')]"
"However, it is jus too good to not praise it.",[]
We have been to Montparnasse many times and return often for good reason.,[]
The strong scents coming from the left and right of me negatively affected my taste buds.,"[('scents', '17', '11', 'negative')]"
We had the lobster sandwich and it was FANTASTIC.,"[('lobster sandwich', '27', '11', 'positive')]"
It's somewhere you can eat and be happy.,[]
"If you wrote a bad review, it's because you don't understand what Rao's is all about.",[]
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","[('check', '148', '143', 'negative')]"
but overall i give it a 10,[]
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[('Spider Roll', '22', '11', 'conflict'), ('price', '129', '124', 'positive'), ('shell crab', '77', '67', 'positive')]"
Deep Fried Skewers are good and still rare to find in NYC.,"[('Deep Fried Skewers', '18', '0', 'positive')]"
"I have tried to make reservations, but both times, the hostess didn't have my name.","[('reservations', '33', '21', 'neutral'), ('hostess', '62', '55', 'negative')]"
I also recommend the rice dishes or the different varieties of congee (rice porridge).,"[('rice dishes', '32', '21', 'positive'), ('congee (rice porridge)', '85', '63', 'positive')]"
Their tuna tartar appetizer is to die for.,"[('tuna tartar appetizer', '27', '6', 'positive')]"
This was one of the BEST restaurants I've ever been to.,[]
This restaurant used to be pretty decent.,[]
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","[('Food', '29', '25', 'conflict'), ('chef', '118', '114', 'positive'), ('fish dishes', '197', '186', 'positive'), ('soups', '207', '202', 'positive'), ('kitchen', '141', '134', 'positive'), ('cuisine', '111', '104', 'positive')]"
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","[('wine', '16', '12', 'positive'), ('french fare', '53', '42', 'positive'), ('cheese', '27', '21', 'positive')]"
I love Indian food and consider myself to be quite an expert on it.,"[('Indian food', '18', '7', 'positive')]"
Some baby pizzas get their wish.,"[('baby pizzas', '16', '5', 'neutral')]"
Plenty of choices to make your own creation.,[]
It was tiny and I felt like I was eating in someone's living room.,[]
I was there on sat.,[]
Overall A oh ya even though there is waiting it is deff worth it,"[('waiting', '44', '37', 'negative')]"
The lava cake dessert was incredible and I recommend it.,"[('lava cake dessert', '21', '4', 'positive')]"
VT is what baby pizzas hope to be when they grow up.,"[('baby pizzas', '22', '11', 'neutral')]"
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","[('service', '25', '18', 'negative'), ('food', '44', '40', 'negative'), ('managers', '89', '81', 'negative')]"
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"[('food', '84', '80', 'positive'), ('food', '156', '152', 'positive')]"
The last time I went we were seated at a table in a corridor next to the kitchen.,"[('table', '46', '41', 'negative')]"
good selection of wines ranging from affordable to high end.,"[('selection of wines', '23', '5', 'positive')]"
"Nice restaurant overall, with classic upscale Italian decor.","[('Italian decor', '59', '46', 'positive')]"
Not impressed with the food.,"[('food', '27', '23', 'negative')]"
The entire dining experience was wonderful!,"[('dining experience', '28', '11', 'positive')]"
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"[('wine selection', '18', '4', 'positive'), ('reservation', '112', '101', 'neutral')]"
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"[('Service', '7', '0', 'positive'), ('maitre', '97', '91', 'positive'), ('reservation', '82', '71', 'negative')]"
"Order the panang duck, it's fantastic.","[('panang duck', '21', '10', 'positive')]"
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","[('Food', '4', '0', 'conflict'), ('raw vegatables', '90', '76', 'negative')]"
"Other than the crappy service from two individuals, it's great.","[('service', '29', '22', 'negative')]"
What more can you ask for?,[]
Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,[]
They have authentic Indian at amazin prices.,"[('Indian', '26', '20', 'positive'), ('prices', '43', '37', 'positive')]"
You are treated just like royality.,[]
"There's nice and quiet, small but enough for 6 (or more).",[]
Ambiance- relaxed and stylish.,"[('Ambiance', '8', '0', 'positive')]"
I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,[]
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.","[('BBQ Salmon', '40', '30', 'positive'), ('Sea Bass', '50', '42', 'positive'), ('Crispy Duck', '66', '55', 'positive')]"
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","[('ingredients', '31', '20', 'positive'), ('ingredients', '59', '48', 'positive'), ('pizza', '85', '80', 'negative'), ('crust', '127', '122', 'neutral')]"
"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",[]
and yes Dal Bukhara is so dam good and so are all the kababs.,"[('kababs', '60', '54', 'positive'), ('Dal Bukhara', '19', '8', 'positive')]"
I look forward to eating here again,"[('eating', '24', '18', 'positive')]"
I've been coming here as a child and always come back for the taste.,"[('taste', '67', '62', 'positive')]"
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"[('meal', '103', '99', 'positive'), ('price', '119', '114', 'positive')]"
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","[('glass of prosecco', '46', '29', 'positive'), ('mussels', '63', '56', 'positive'), ('glass of Leaping Lizard', '25', '2', 'positive')]"
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","[('Food', '4', '0', 'neutral'), ('creme brulee', '33', '21', 'negative'), ('sugar', '55', '50', 'negative')]"
The food always tastes fresh and served promptly.,"[('food', '8', '4', 'positive'), ('served', '39', '33', 'positive')]"
I know because I live nearby.,[]
The pizza here is delicious.,"[('pizza', '9', '4', 'positive')]"
My entire family was horrified.,[]
On a monthly basis my friends and I get together and have a girls night out.,[]
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","[('Pizza', '5', '0', 'positive'), ('delivery', '88', '80', 'positive'), ('garlic knots', '22', '10', 'positive')]"
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.","[('chinese food', '22', '10', 'positive')]"
But who says Murray's is anything about service.,"[('service', '47', '40', 'neutral')]"
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","[('food', '108', '104', 'negative')]"
I have NEVER been disappointed in the Red Eye.,[]
Hats off to the chef.,"[('chef', '20', '16', 'positive')]"
This should have been done in a back room - away from customers.,[]
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","[('Service', '7', '0', 'negative'), ('teapot', '144', '138', 'positive')]"
Glad you have the luxury to throw out paying customers.,[]
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[('pizza', '9', '4', 'positive'), ('fresh mozzarella', '50', '34', 'positive'), ('cheese', '96', '90', 'negative')]"
Its an excellent place to relax and the food is one of the best in the city of New York.,"[('place', '22', '17', 'positive'), ('food', '44', '40', 'positive')]"
"service is friendly, and never had a problem walking in and getting a table.","[('service', '7', '0', 'positive'), ('getting a table', '75', '60', 'positive')]"
The atmosphere was crowded but it was a great bistro-type vibe.,"[('atmosphere', '14', '4', 'conflict'), ('bistro-type vibe', '62', '46', 'positive')]"
Check it out,[]
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","[('waitress', '23', '15', 'negative'), ('tables', '107', '101', 'neutral')]"
Don't go.,[]
The food was bland oily.,"[('food', '8', '4', 'negative')]"
But they do.,[]
"What is even better, is that the prices are very affordable as well, and the food is really good.","[('prices', '39', '33', 'positive'), ('food', '81', '77', 'positive')]"
The fish is fresh but the variety of fish is nothing out of ordinary.,"[('fish', '8', '4', 'positive'), ('variety of fish', '41', '26', 'negative')]"
Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,[]
Suan has challenged this loyalty.,[]
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","[('pesto pizza', '34', '23', 'positive'), ('house salad', '51', '40', 'positive'), ('bottle of wine', '78', '64', 'positive'), ('meal', '17', '13', 'positive')]"
"And Kruno, the beverage manager is the best bartender I have yet to come across.","[('bartender', '53', '44', 'positive'), ('beverage manager', '31', '15', 'positive')]"
"Ambiance and music funky, which I enjoy.","[('Ambiance', '8', '0', 'positive'), ('music', '18', '13', 'positive')]"
"The food, drinks and service are clearly among the best in the city.","[('food', '8', '4', 'positive'), ('drinks', '16', '10', 'positive'), ('service', '28', '21', 'positive')]"
I went there in late afternoon for some bite size food and refleshment with my date.,"[('food', '54', '50', 'neutral'), ('refleshment', '70', '59', 'neutral')]"
"It's a really great deal, considering we got full off of four dollars.",[]
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","[('ambiance', '90', '82', 'positive'), ('service', '115', '108', 'positive'), ('foods', '222', '217', 'positive'), ('tastes', '234', '228', 'positive'), ('sommlier', '136', '128', 'positive'), ('captain', '170', '163', 'positive'), ('back waiters', '187', '175', 'positive')]"
Went with mommy (the only person who could afford taking me here).,[]
My friends and I were on vacation in NY and was referred to Chance by a friend.,[]
"Last time I went here, the waitress didn't come back after taking our order.","[('waitress', '35', '27', 'negative')]"
Try the tandoori salmon!,"[('tandoori salmon', '23', '8', 'positive')]"
"I am completely hooked on this place, it is ridiculous.",[]
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[('atmosphere', '25', '15', 'positive')]"
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","[('space', '17', '12', 'negative'), ('service', '62', '55', 'positive')]"
"Have recommended the place to friends, always gets good response.",[]
We will return many times for this oasis in mid-town.,[]
I love the atmorphere @ peep!,"[('atmorphere', '21', '11', 'positive')]"
Enjoy!,[]
We weren't!,[]
This is one of my favorite restaurants and it is not to be missed.,[]
(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,[]
It could have been handled better.,[]
The service was attentive and her suggestions of menu items was right on the mark.,"[('service', '11', '4', 'positive'), ('menu items', '59', '49', 'positive')]"
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,"[('three course meal', '48', '31', 'positive')]"
Please be aware that it's CASH or AMEX only!,[]
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!","[('Pizza', '207', '202', 'positive')]"
It's a rather cramped and busy restaurant and it closes early.,[]
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","[('environment', '15', '4', 'positive'), ('food', '41', '37', 'negative'), ('service', '66', '59', 'negative')]"
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.","[('crawfish boiled', '22', '7', 'positive')]"
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,"[('reservation', '66', '55', 'neutral')]"
They were served warm and had a soft fluffy interior.,[]
What came to our table was burned beyond recognition and stringy.,"[('table', '22', '17', 'neutral')]"
I had the Pad Thai and the noodles were sticky.,"[('Pad Thai', '18', '10', 'negative'), ('noodles', '34', '27', 'negative')]"
"So I've never actually been to M proper, but I've had it delivered a few times.","[('delivered', '66', '57', 'neutral')]"
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.","[('values for your money', '101', '80', 'positive')]"
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","[('lunch', '58', '53', 'positive')]"
The hostess is rude to the point of being offensive.,"[('hostess', '11', '4', 'negative')]"
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!","[('food', '39', '35', 'positive'), ('wait building', '101', '88', 'negative')]"
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","[('corridor', '17', '9', 'negative'), ('space', '39', '34', 'negative'), ('counters', '87', '79', 'negative'), ('counter', '155', '148', 'negative'), ('entrees', '177', '170', 'neutral')]"
The food is great.,"[('food', '8', '4', 'positive')]"
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,"[('steaks', '16', '10', 'positive'), ('salads', '82', '76', 'positive'), ('sides', '92', '87', 'positive')]"
"Lunch came with pickels and slaw, no extra charge.","[('Lunch', '5', '0', 'positive'), ('pickels and slaw', '32', '16', 'neutral')]"
Decent wine at reasonable prices.,"[('wine', '11', '7', 'positive'), ('prices', '32', '26', 'positive')]"
All conveniently delivered right to the door.,"[('delivered', '26', '17', 'positive')]"
even the wine by the glass was good.,"[('wine by the glass', '26', '9', 'positive')]"
Nice Family owned traditional restaurant.,[]
would have rather tried terrace in the sky or water club for that price,"[('price', '71', '66', 'negative')]"
This dish is my favorite and I always get it when I go there and never get tired of it.,"[('dish', '9', '5', 'positive')]"
"I also ordered the Change Mojito, which was out of this world.","[('Change Mojito', '32', '19', 'positive')]"
Okay service.,"[('service', '12', '5', 'neutral')]"
The only thing more wonderful than the food (which is exceptional) is the service.,"[('food', '43', '39', 'positive'), ('service', '81', '74', 'positive')]"
We were very pleasantly surprised.,[]
"The food was just awful, ATROCIOUS actually.","[('food', '8', '4', 'negative')]"
I will never visit this restaurant again.,[]
The soup for the udon was soy sauce and water.,"[('soup for the udon', '21', '4', 'negative'), ('soy sauce', '35', '26', 'neutral'), ('water', '45', '40', 'neutral')]"
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","[('anti-pasta', '14', '4', 'positive'), ('calamari', '53', '45', 'positive'), ('filling pasta mains', '86', '67', 'positive')]"
The waitress suggested glasses of wine that went very well with the food.,"[('waitress', '12', '4', 'positive'), ('food', '72', '68', 'neutral'), ('glasses of wine', '38', '23', 'positive')]"
"(or sister, in my case!).",[]
I've eaten at many different Indian restaurants.,[]
"They might be all business at the counter when you give your order, but their food says I love you.","[('food', '82', '78', 'positive'), ('counter', '41', '34', 'negative')]"
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","[('sushi', '34', '29', 'positive'), ('ceviche mix (special)', '111', '90', 'positive'), ('crab dumplings', '127', '113', 'positive'), ('assorted sashimi', '145', '129', 'positive'), ('sushi', '152', '147', 'positive'), ('rolls', '162', '157', 'positive'), ('sake', '181', '177', 'positive'), ('banana tempura', '205', '191', 'positive')]"
Try their plain pizza with fresh garlic or eggplant.,"[('plain pizza', '21', '10', 'positive'), ('garlic', '39', '33', 'positive'), ('eggplant', '51', '43', 'positive')]"
Don't go there!,[]
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.","[('servers', '18', '11', 'negative'), ('servers', '88', '81', 'conflict')]"
Good luck getting a table.,"[('getting a table', '25', '10', 'negative')]"
"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",[]
Don't look down your nose at me like that...,[]
Planet Thai is great!,[]
The service is awful.,"[('service', '11', '4', 'negative')]"
Just don't do it.,[]
Just ignore the trendy wannabes.,[]
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!","[('takeout menu', '16', '4', 'positive'), ('menu', '61', '57', 'positive'), ('italian dishes', '90', '76', 'positive')]"
"Trust me, it will be great, and all of it will be devoured in no time.",[]
My girlfiends and I ate at O.G. again last night.,[]
I wish they had one near my office- I would go everyday.,[]
Finally!,[]
Amma has the worst value for money I have experienced in NYC over the past 2 years.,[]
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.","[('Thai food', '63', '54', 'neutral')]"
I think this would be a pretty good spot if it were not so overpriced and overrated.,[]
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,"[('hostess', '89', '82', 'positive')]"
The pizza is good though.,"[('pizza', '9', '4', 'positive')]"
bottles of wine are cheap and good.,"[('bottles of wine', '15', '0', 'positive')]"
You will not be disapointed at all.,[]
Walk-ins are risky too.,[]
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","[('beers', '33', '28', 'positive'), ('food', '102', '98', 'positive'), ('pumkin tortelini', '176', '160', 'positive'), ('dish', '144', '140', 'positive')]"
They didn't give us the dinner special until we asked for it.,"[('dinner special', '38', '24', 'negative')]"
